file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-01-03-21:45:46_J0049_PERF-ASM.prt    11 1.02e+09  176.87s  2m56.87    5.8
2018-01-03-21:50:48_J0050_PERF-ASM.prt    11 1.02e+09  177.19s  2m57.19    5.8
2018-01-03-21:54:29_J0051_PERF-ASM.prt    11 1.02e+09  176.92s  2m56.92    5.8
2018-01-03-21:58:07_J0052_PERF-ASM.prt    11 1.02e+09  177.04s  2m57.04    5.8
2018-01-03-22:01:46_J0053_PERF-ASM.prt    11 1.02e+09  177.29s  2m57.29    5.8
2018-01-03-22:05:27_J0054_PERF-ASM.prt    11 1.02e+09  176.89s  2m56.89    5.8
2018-01-03-22:09:05_J0055_PERF-ASM.prt    11 1.02e+09  177.17s  2m57.17    5.8
2018-01-03-22:12:44_J0056_PERF-ASM.prt    11 1.02e+09  176.74s  2m56.74    5.8
2018-01-03-22:16:24_J0057_PERF-ASM.prt    11 1.02e+09  176.82s  2m56.82    5.8
2018-01-03-22:20:05_J0058_PERF-ASM.prt    11 1.02e+09  177.17s  2m57.17    5.8
2018-01-03-22:23:43_J0059_PERF-ASM.prt    11 1.02e+09  177.04s  2m57.04    5.8
2018-01-03-22:27:23_J0060_PERF-ASM.prt    11 1.02e+09  176.76s  2m56.76    5.8
2018-01-03-22:31:02_J0061_PERF-ASM.prt    11 1.02e+09  177.19s  2m57.19    5.8
2018-01-03-22:34:43_J0062_PERF-ASM.prt    11 1.02e+09  176.95s  2m56.95    5.8
2018-01-03-22:38:23_J0063_PERF-ASM.prt    11 1.02e+09  176.96s  2m56.96    5.8
2018-01-03-22:42:04_J0064_PERF-ASM.prt    11 1.02e+09  177.01s  2m57.01    5.8

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx
T244  SLL R,30               : 16    61.9    62.9    60.31   0.7%    2.08   0.46
T245  SLDL R,60              : 16    74.2    75.3    73.74   0.6%    2.54   0.56
T250  TM m,i                 : 16   123.6   125.2   123.18   0.6%    4.25   0.94
T252  TR m,m (10c)           : 16   490.9   502.6   499.04   0.4%   17.22   3.81
T253  TR m,m (100c)          : 16  2009.4  2135.0  2111.37   1.1%   72.85  16.13
T254  TR m,m (250c)          : 16  4530.8  4841.3  4790.02   0.8%  165.27  36.58
T255  TRT m,m (10c,zero)     : 16  1403.5  1415.1  1406.46   0.2%   48.53  10.74
T256  TRT m,m (100c,zero)    : 16 13228.4 13415.5 13337.17   0.4%  460.18 101.86
T257  TRT m,m (250c,zero)    : 16 32962.4 33720.8 33188.43   0.3% 1145.11 253.48
T258  TRT m,m (250c,10b)     : 16  1550.9  1578.0  1557.74   0.4%   53.75  11.90
T259  TRT m,m (250c,100b)    : 16 13384.2 13571.6 13479.28   0.6%  465.08 102.95
T260  CR R,R                 : 16    38.2    39.0    38.04   0.6%    1.31   0.29
T261  C R,m                  : 16   145.2   147.2   144.63   0.5%    4.99   1.10
T262  CH R,m                 : 16   147.4   149.2   147.20   0.4%    5.08   1.12
T263  CLR R,R                : 16    32.8    33.3    32.40   0.4%    1.12   0.25
T264  CL R,m                 : 16   135.7   138.7   135.59   0.4%    4.68   1.04
T265  CLI m,i                : 16   126.3   127.8   125.98   0.5%    4.35   0.96
T266  CLM R,i,m              : 16   189.2   191.5   189.20   0.3%    6.53   1.45
T270  CLC m,m (10c,eq)       : 16   307.4   313.2   306.63   0.5%   10.58   2.34
T271  CLC m,m (10c,ne)       : 16   286.5   290.1   285.17   0.3%    9.84   2.18
T272  CLC m,m (30c,eq)       : 16   339.7   344.4   338.99   0.7%   11.70   2.59
T273  CLC m,m (30c,ne)       : 16   291.0   296.1   290.54   0.6%   10.02   2.22
T274  CLC m,m (100c,eq)      : 16   431.3   439.4   433.56   0.7%   14.96   3.31
T275  CLC m,m (100c,ne)      : 16   289.3   309.9   289.81   0.6%   10.00   2.21
T276  CLC m,m (250c,eq)      : 16   666.2   676.7   669.14   0.8%   23.09   5.11
T277  CLC m,m (250c,ne)      : 16   278.2   285.3   277.81   0.8%    9.59   2.12
T280  4*LA;CLCL (100b,10b)   : 16  1949.7  1992.7  1959.20   0.5%   67.60  14.96
T281  4*LA;CLCL (4kb,10b)    : 16  1993.0  2025.4  1998.14   0.5%   68.94  15.26
T282  4*LA;CLCL (4kb,100b)   : 16 15724.6 16056.0 15852.56   0.8%  546.97 121.08
T283  4*LA;CLCL (4kb,250b)   : 16 38614.1 39387.9 38931.74   1.0% 1343.28 297.35
T290  LR;CS R,R,m (eq,eq)    : 16   544.8   557.4   549.09   0.9%   18.95   4.19
T291  LR;CS R,R,m (eq,ne)    : 16   545.8   577.2   548.97   0.7%   18.94   4.19
T292  LR;CS R,R,m (ne)       : 16  2492.9  2552.0  2531.27   0.9%   87.34  19.33
T295  LR;CDS R,R,m (eq,eq)   : 16   574.5   588.7   577.13   0.7%   19.91   4.41
T296  LR;CDS R,R,m (eq,ne)   : 16   574.2   588.8   578.86   0.7%   19.97   4.42
T297  LR;CDS R,R,m (ne)      : 16  2501.9  2580.2  2551.08   0.6%   88.02  19.48
T300  BCR 0,0 (noop)         : 16    33.8    34.5    33.53   0.5%    1.16   0.26
T301  BNZ l (no br)          : 16    36.0    36.8    35.83   0.9%    1.24   0.27
T302  BNZ l (do br)          : 16    62.7    63.7    62.19   0.7%    2.15   0.47
T303  BNZ l (do br, far)     : 16   238.7   243.4   239.17   0.7%    8.25   1.83
T310  BCTR R,0               : 16    44.8    45.4    44.53   0.8%    1.54   0.34
T311  BCTR R,R               : 16    56.3    57.2    56.68   0.7%    1.96   0.43
T312  BCT R,l                : 16    76.4    77.6    76.91   0.6%    2.65   0.59
T315  BXLE R,R,l             : 16    76.9    78.3    77.06   0.6%    2.66   0.59
T320  BALR R,R; BR R         : 16   122.7   125.6   122.40   0.9%    4.22   0.93
T321  BALR R,R; BR R (far)   : 16   484.3   492.9   486.38   0.7%   16.78   3.71
T322  BAL R,l; BR R          : 16   144.6   147.0   144.45   0.5%    4.98   1.10
T323  BAL R,l; BR R (far)    : 16   508.7   514.3   510.21   0.4%   17.60   3.90
T324  BASR R,R; BR R         : 16   116.9   118.5   116.47   0.4%    4.02   0.89
T325  BAS R,l; BR R          : 16   131.0   133.5   130.69   0.4%    4.51   1.00
T330  L;BALR;SAV(14,12);RET  : 16  1957.6  2004.4  1969.46   0.7%   67.95  15.04
T400  CVB R,m                : 16   669.9   700.4   673.33   0.6%   23.23   5.14
T401  CVD R,m                : 16  6145.2  6222.5  6179.86   0.4%  213.23  47.20
T402  PACK m,m (5d)          : 16   664.5   674.3   666.07   0.5%   22.98   5.09
T403  PACK m,m (15d)         : 16  1656.0  1679.8  1665.27   0.4%   57.46  12.72
T404  UNPK m,m (5d)          : 16   706.0   717.2   708.17   0.6%   24.43   5.41
T405  UNPK m,m (15d)         : 16  1685.1  1708.4  1693.38   0.7%   58.43  12.93
T410  MVC;ED (10c)           : 16  2770.5  2819.3  2787.72   0.7%   96.19  21.29
T411  MVC;ED (30c)           : 16  7394.1  7522.4  7469.00   0.8%  257.71  57.05
T415  MVC;EDMK (10c)         : 16  2825.7  2866.9  2844.64   0.5%   98.15  21.73
T420  AP m,m (10d)           : 16  2832.8  2928.1  2858.83   0.6%   98.64  21.83
T421  AP m,m (30d)           : 16  2900.9  2976.2  2927.36   0.7%  101.00  22.36
T422  MP m,m (10d)           : 16  3221.5  3311.2  3241.23   0.6%  111.83  24.76
T423  MP m,m (30d)           : 16  3260.3  3293.7  3273.05   0.4%  112.93  25.00
T430  CP m,m (10d)           : 16  1786.6  1822.0  1793.94   0.5%   61.90  13.70
T431  CP m,m (30d)           : 16  1808.3  1840.9  1817.84   0.9%   62.72  13.88
T440  ZAP m,m (10d,10d)      : 16  1539.5  1563.9  1549.92   0.9%   53.48  11.84
T441  ZAP m,m (30d,30d)      : 16  1569.3  1594.7  1579.93   0.8%   54.51  12.07
T442  ZAP m,m (10d,30d)      : 16  1555.1  1579.6  1563.78   0.7%   53.96  11.94
T443  ZAP m,m (30d,10d)      : 16  1554.9  1576.8  1563.33   0.6%   53.94  11.94
T445  MVC;SRP m,i,i (30d,<<) : 16  1811.7  1844.5  1823.95   0.6%   62.93  13.93
T446  MVC;SRP m,i,i (30d,>>) : 16  2290.2  2326.5  2305.65   0.5%   79.55  17.61
T450  MVO m,m (10d)          : 16   880.0   890.5   882.05   0.2%   30.43   6.74
T451  MVO m,m (30d)          : 16  2285.0  2306.8  2294.83   0.2%   79.18  17.53
T500  LER R,R                : 16    46.1    46.7    45.79   0.3%    1.58   0.35
T501  LE R,m                 : 16   147.3   151.4   147.14   0.2%    5.08   1.12
T502  LE R,m (unal)          : 16   146.4   148.6   146.26   0.6%    5.05   1.12
T503  LTER R,R               : 16    55.2    56.1    54.63   0.4%    1.88   0.42
T504  LCER R,R               : 16    56.2    56.9    55.73   0.4%    1.92   0.43
T505  LNER R,R               : 16    49.5    50.5    49.27   0.4%    1.70   0.38
T506  LPER R,R               : 16    49.5    50.2    49.29   0.4%    1.70   0.38
T507  LRER R,R               : 16    68.4    70.4    68.30   0.6%    2.36   0.52
T508  STE R,m                : 16   145.2   148.8   145.13   0.4%    5.01   1.11
T509  STE R,m (unal)         : 16   145.8   147.5   145.61   0.4%    5.02   1.11
T510  AER R,R                : 16   145.3   147.6   145.26   0.5%    5.01   1.11
T511  AE R,m                 : 16   231.4   234.2   232.16   0.4%    8.01   1.77
T512  MER R,R                : 16   176.3   178.9   176.66   0.4%    6.10   1.35
T513  ME R,m                 : 16   264.8   268.1   266.15   0.3%    9.18   2.03
T514  DER R,R                : 16   570.9   577.4   573.68   0.4%   19.79   4.38
T515  DE R,m                 : 16   669.7   689.3   674.08   0.3%   23.26   5.15
T516  CER R,R                : 16   118.9   120.4   118.63   0.3%    4.09   0.91
T517  CE R,m                 : 16   207.6   210.5   207.80   0.5%    7.17   1.59
T518  AUR R,R                : 16   163.1   165.9   163.25   0.5%    5.63   1.25
T519  HER R,R                : 16    71.1    72.2    70.44   0.5%    2.43   0.54
T520  LDR R,R                : 16    51.7    52.5    51.50   0.5%    1.78   0.39
T521  LD R,m                 : 16   153.4   155.6   153.28   0.5%    5.29   1.17
T522  LD R,m (unal)          : 16   154.6   159.3   154.40   0.3%    5.33   1.18
T523  LTDR R,R               : 16    60.1    61.1    59.94   0.5%    2.07   0.46
T524  LCDR R,R               : 16    61.2    62.3    61.08   0.5%    2.11   0.47
T525  LNDR R,R               : 16    59.5    60.4    59.36   0.5%    2.05   0.45
T526  LPDR R,R               : 16    60.1    61.3    59.97   0.7%    2.07   0.46
T527  LRDR R,R               : 16    86.7    88.2    86.80   0.5%    2.99   0.66
T528  STD R,m                : 16   153.4   156.0   153.41   0.8%    5.29   1.17
T529  STD R,m (unal)         : 16   155.6   158.4   155.48   0.8%    5.36   1.19
T530  ADR R,R                : 16   178.8   182.5   179.05   0.5%    6.18   1.37
T531  AD R,m                 : 16   271.1   275.8   271.72   0.3%    9.38   2.08
T532  MDR R,R                : 16   241.1   245.7   241.80   0.4%    8.34   1.85
T533  MD R,m                 : 16   337.8   343.4   338.25   0.3%   11.67   2.58
T534  DDR R,R                : 16  7210.6  7325.0  7263.10   0.2%  250.60  55.47
T535  DD R,m                 : 16  7291.7  7445.9  7345.83   0.7%  253.46  56.10
T536  CDR R,R                : 16   148.1   153.4   148.00   0.5%    5.11   1.13
T537  CD R,m                 : 16   240.1   246.6   241.90   0.4%    8.35   1.85
T538  AWR R,R                : 16   154.0   156.4   154.19   0.5%    5.32   1.18
T539  HDR R,R                : 16    88.1    89.4    87.38   0.5%    3.01   0.67
T540  AXR R,R                : 16   324.5   329.1   325.07   0.5%   11.22   2.48
T541  MXR R,R                : 16   700.5   709.7   702.59   0.4%   24.24   5.37
T600  STCK m                 : 16  2820.9  3156.2  2844.90   0.7%   98.16  21.73
T601  SPM R                  : 16    40.5    41.0    40.22   0.5%    1.39   0.31
T610  EX R,i (with TM)       : 16   255.7   258.2   256.10   0.5%    8.84   1.96
T611  EX R,i (with XI)       : 16   262.1   266.0   263.26   0.6%    9.08   2.01
T620  MVI;TS m (zero)        : 16   626.4   641.0   631.53   1.1%   21.79   4.82
T621  MVI;TS m (ones)        : 16  2590.8  2670.3  2653.68   0.7%   91.56  20.27
T700  mix int RR basic       : 16    62.4    63.4    61.45   0.7%    2.12   0.47
T701  mix int RX             : 16   236.3   241.9   235.72   0.6%    8.13   1.80
T702  mix int RX (far)       : 16   238.6   243.4   237.97   0.6%    8.21   1.82
