T151  MVC m,m (10c)          : 11    1.41    1.97    1.361  39.3%    0.00   0.00
T154  MVC m,m (100c)         : 11   39.62   42.54   39.565   7.4%    0.00   0.00
T155  MVC m,m (250c)         : 11   50.25   57.89   50.122  15.2%    0.00   0.00
T156  MVC m,m (250c,over1)   : 11   52.59  580.96   52.458 1004.%    0.00   0.00
T157  MVC m,m (250c,over2)   : 11   50.68   80.15   50.549  58.2%    0.00   0.00
T160  MVI m,i                : 11    0.69    0.93    0.661  35.1%    0.00   0.00
T161  MVN m,m (10c)          : 11    8.64   50.43    8.592 483.4%    0.00   0.00
T162  MVN m,m (30c)          : 11   25.01   63.94   24.877 155.7%    0.00   0.00
T165  MVZ m,m (10c)          : 11    8.07   48.50    8.022 500.7%    0.00   0.00
T166  MVZ m,m (30c)          : 11   23.30   69.57   23.175 198.5%    0.00   0.00
T167  MVCIN m,m (10c)        : 11   40.75   50.62   40.618  24.2%    0.00   0.00
T168  MVCIN m,m (30c)        : 11   59.44   69.43   59.313  16.8%    0.00   0.00
T169  MVCIN m,m (100c)       : 11  106.82  132.01  106.691  23.6%    0.00   0.00
T170  4*Lx;MVCL (10b)        : 11   25.63   27.61   25.372   7.7%    0.00   0.00
T171  4*Lx;MVCL (100b)       : 11   27.90   30.38   27.644   8.9%    0.00   0.00
T172  4*Lx;MVCL (250b)       : 11   32.39   37.36   32.125  15.4%    0.00   0.00
T173  4*Lx;MVCL (1kb)        : 11   54.38   61.91   54.118  13.9%    0.00   0.00
T174  4*LR;MVCL (4kb)        : 11  140.29  154.08  140.031   9.8%    0.00   0.00
T175  4*Lx;MVCL (100b,pad)   : 11   36.62   39.61   36.356   8.2%    0.00   0.00
T176  4*Lx;MVCL (1kb,pad)    : 11   68.14   76.01   67.880  11.5%    0.00   0.00
T177  4*Lx;MVCL (4kb,pad)    : 11  151.84  164.80  151.576   8.5%    0.00   0.00
T178  4*LA;MVCL (1kb,over1)  : 11   12.57   14.26   12.308  13.4%    0.00   0.00
T179  4*LA;MVCL (1kb,over2)  : 11   93.52  101.58   93.263   8.6%    0.00   0.00
T190  IC R,m                 : 11    0.07    8.53    0.047 11590%    0.00   0.00
T191  ICM R,i,m (0010)       : 11    0.15   20.25    0.127 13135%    0.00   0.00
T192  ICM R,i,m (1100)       : 11    0.51   20.21    0.480 3894.%    0.00   0.00
T193  ICM R,i,m (0111)       : 11    0.43   23.66    0.403 5415.%    0.00   0.00
T200  AR R,R                 : 11    0.47    7.37    0.448 1455.%    0.00   0.00
T201  A R,m                  : 11    0.86   15.86    0.811 1737.%    0.00   0.00
T202  AH R,m                 : 11    0.96   16.35    0.907 1604.%    0.00   0.00
T203  ALR R,R                : 11    0.45    5.07    0.423 1029.%    0.00   0.00
T204  AL R,m                 : 11    0.84   13.45    0.790 1497.%    0.00   0.00
T210  MR R,R                 : 11    0.46    0.63    0.374  35.7%    0.00   0.00
T211  M R,m                  : 11    0.86    1.08    0.774  25.9%    0.00   0.00
T212  MH R,m                 : 11    1.30    1.56    1.212  19.7%    0.00   0.00
T215  XR R,R; DR R,R         : 11   18.29   20.64   18.162  12.8%    0.00   0.00
T216  XR R,R; D R,m          : 11   19.59   21.01   19.462   7.2%    0.00   0.00
T220  SLA R,1                : 11    0.12    0.18    0.028  55.2%    0.00   0.00
T221  SLDA R,1               : 11    0.09   12.33    0.040 13300%    0.00   0.00
T222  SRA R,1                : 11    0.11    0.16    0.022  45.5%    0.00   0.00
T223  SRDA R,1               : 11    0.08    8.85    0.030 10689%    0.00   0.00
T224  SRA R,30               : 11    0.11    0.16    0.022  41.8%    0.00   0.00
T225  SRDA R,60              : 11    0.08    8.65    0.032 10194%    0.00   0.00
T230  XR R,R                 : 11    0.46    4.24    0.431 827.6%    0.00   0.00
T231  X R,m                  : 11    0.75   11.84    0.699 1477.%    0.00   0.00
T232  XI m,i                 : 11    0.94    1.24    0.893  31.2%    0.00   0.00
T235  XC m,m (10c)           : 11    8.06    8.79    8.012   9.0%    0.00   0.00
T236  XC m,m (100c)          : 11   53.80   59.51   53.671  10.6%    0.00   0.00
T237  XC m,m (250c)          : 11   81.67   90.43   81.541  10.7%    0.00   0.00
T238  NR R,R                 : 11    0.46    4.36    0.436 844.2%    0.00   0.00
T239  OR R,R                 : 11    0.47    4.26    0.446 802.8%    0.00   0.00
T240  SLL R,1                : 11    0.09    0.13   -0.002  50.0%    0.00   0.00
T241  SLDL R,1               : 11    0.07    8.91    0.017 12820%    0.00   0.00
T242  SRL R,1                : 11    0.09    0.11   -0.002  31.4%    0.00   0.00
T243  SRDL R,1               : 11    0.08    7.81    0.024 10177%    0.00   0.00
T244  SLL R,30               : 11    0.09    0.10    0.001  15.7%    0.00   0.00
T245  SLDL R,60              : 11    0.07    8.35    0.017 11997%    0.00   0.00
T250  TM m,i                 : 11    0.18    0.35    0.132  88.6%    0.00   0.00
T252  TR m,m (10c)           : 11   41.52   45.31   41.471   9.1%    0.00   0.00
T253  TR m,m (100c)          : 11  116.32  130.62  116.190  12.3%    0.00   0.00
T254  TR m,m (250c)          : 11  216.81  241.13  216.681  11.2%    0.00   0.00
T255  TRT m,m (10c,zero)     : 11   46.79   50.97   46.737   8.9%    0.00   0.00
T256  TRT m,m (100c,zero)    : 11  240.91  269.66  240.777  11.9%    0.00   0.00
T257  TRT m,m (250c,zero)    : 11  501.87  542.50  501.741   8.1%    0.00   0.00
T258  TRT m,m (250c,10b)     : 11   47.45   50.42   47.317   6.3%    0.00   0.00
T259  TRT m,m (250c,100b)    : 11  247.10  267.97  246.967   8.4%    0.00   0.00
T260  CR R,R                 : 11    0.03    5.10    0.008 14897%    0.00   0.00
T261  C R,m                  : 11    0.13   12.10    0.078 9205.%    0.00   0.00
T262  CH R,m                 : 11    0.14   12.38    0.085 8934.%    0.00   0.00
T263  CLR R,R                : 11    0.04    5.06    0.010 13950%    0.00   0.00
T264  CL R,m                 : 11    0.13   12.02    0.076 9289.%    0.00   0.00
T265  CLI m,i                : 11    0.12    0.16    0.063  39.1%    0.00   0.00
T266  CLM R,i,m              : 11    0.14    2.93    0.091 1948.%    0.00   0.00
T270  CLC m,m (10c,eq)       : 11    0.42   25.10    0.292 5848.%    0.00   0.00
T271  CLC m,m (10c,ne)       : 11    0.41   22.86    0.284 5422.%    0.00   0.00
T272  CLC m,m (30c,eq)       : 11    1.06   41.21    0.933 3776.%    0.00   0.00
T273  CLC m,m (30c,ne)       : 11    0.44   30.77    0.312 6860.%    0.00   0.00
T274  CLC m,m (100c,eq)      : 11    5.24   68.61    5.113 1208.%    0.00   0.00
T275  CLC m,m (100c,ne)      : 11    4.98   31.23    4.845 527.8%    0.00   0.00
T276  CLC m,m (250c,eq)      : 11    7.43  264.56    7.305 3458.%    0.00   0.00
T277  CLC m,m (250c,ne)      : 11    5.03   32.33    4.897 543.1%    0.00   0.00
T280  4*LR;CLCL (100b,10b)   : 11   35.46   60.01   35.202  69.2%    0.00   0.00
T281  4*LR;CLCL (4kb,10b)    : 11   34.85   59.78   34.589  71.5%    0.00   0.00
T282  4*LR;CLCL (4kb,100b)   : 11  122.87  151.06  122.608  22.9%    0.00   0.00
T283  4*LR;CLCL (4kb,250b)   : 11  234.83  283.55  234.569  20.7%    0.00   0.00
T290  LR;CS R,R,m (eq,eq)    : 11    9.83   10.97    9.696  11.6%    0.00   0.00
T291  LR;CS R,R,m (eq,ne)    : 11    9.67   45.23    9.538 367.8%    0.00   0.00
T292  LR;CS R,R,m (ne)       : 11   46.87  168.21   46.742 258.9%    0.00   0.00
T295  LR;CDS R,R,m (eq,eq)   : 11    9.87   10.79    9.744   9.3%    0.00   0.00
T296  LR;CDS R,R,m (eq,ne)   : 11    9.75   22.31    9.615 129.0%    0.00   0.00
T297  LR;CDS R,R,m (ne)      : 11  139.82  164.64  139.688  17.8%    0.00   0.00
T300  BCR 0,0 (noop)         : 11    0.03    4.88    0.001 17974%    0.00   0.00
T301  BNZ l (no br)          : 11    0.27    4.58    0.246 1584.%    0.00   0.00
T302  BNZ l (do br)          : 11    3.21   14.62    3.169 355.1%    0.00   0.00
T303  BNZ l (do br, far)     : 11    4.58   11.17    4.532 144.1%    0.00   0.00
T310  BCTR R,0               : 11    0.03    5.43    0.009 15408%    0.00   0.00
T311  BCTR R,R               : 11    2.61    2.94    2.609  12.6%    0.00   0.00
T312  BCT R,l                : 11    2.52    2.79    2.524  10.4%    0.00   0.00
T315  BXLE R,R,l             : 11    3.27    3.52    3.246   7.6%    0.00   0.00
T320  BALR R,R; BR R         : 11    5.80   32.59    5.752 461.4%    0.00   0.00
T321  BALR R,R; BR R (far)   : 11   18.11   23.21   18.059  28.2%    0.00   0.00
T322  BAL R,l; BR R          : 11    5.88    6.43    5.832   9.3%    0.00   0.00
T323  BAL R,l; BR R (far)    : 11   17.11   23.94   17.063  39.9%    0.00   0.00
T324  BASR R,R; BR R         : 11    4.38   31.57    4.327 621.0%    0.00   0.00
T325  BAS R,l; BR R          : 11    4.69    5.62    4.634  19.9%    0.00   0.00
T330  L;BALR;SAV(14,12);RET  : 11  110.13  141.58  109.868  28.6%    0.00   0.00
T400  CVB R,m                : 11   18.46   20.72   18.406  12.2%    0.00   0.00
T401  CVD R,m                : 11   51.78   62.50   51.729  20.7%    0.00   0.00
T402  PACK m,m (5d)          : 11    4.17   49.41    4.045 1083.%    0.00   0.00
T403  PACK m,m (15d)         : 11   14.35   61.75   14.221 330.3%    0.00   0.00
T404  UNPK m,m (5d)          : 11    3.76   52.94    3.633 1306.%    0.00   0.00
T405  UNPK m,m (15d)         : 11    8.77   69.30    8.637 690.5%    0.00   0.00
T410  MVC;ED (10c)           : 11  156.91  169.84  156.649   8.2%    0.00   0.00
T411  MVC;ED (30c)           : 11  342.02  378.47  341.757  10.7%    0.00   0.00
T415  MVC;EDMK (10c)         : 11  157.43  172.51  157.173   9.6%    0.00   0.00
T420  AP m,m (10d)           : 11   30.02   70.27   29.935 134.1%    0.00   0.00
T421  AP m,m (30d)           : 11   35.91   70.97   35.819  97.7%    0.00   0.00
T424  MP m,m (10d)           : 11  125.33  145.91  125.200  16.4%    0.00   0.00
T425  MP m,m (30d)           : 11  128.98  158.62  128.847  23.0%    0.00   0.00
T430  CP m,m (10d)           : 11    4.99   36.50    4.906 631.0%    0.00   0.00
T431  CP m,m (30d)           : 11    7.58   39.57    7.492 422.1%    0.00   0.00
T440  ZAP m,m (10d,10d)      : 11    5.82   60.57    5.731 941.0%    0.00   0.00
T441  ZAP m,m (30d,30d)      : 11    7.68   65.84    7.597 756.8%    0.00   0.00
T442  ZAP m,m (10d,30d)      : 11    8.28   62.74    8.194 657.7%    0.00   0.00
T443  ZAP m,m (30d,10d)      : 11    5.91   61.91    5.821 947.9%    0.00   0.00
T445  SRP m,i,i (30d,<<)     : 11   60.76   73.25   60.659  20.5%    0.00   0.00
T446  SRP m,i,i (30d,>>)     : 11   60.26   80.31   60.154  33.3%    0.00   0.00
T450  MVO m,m (10d)          : 11    5.17   52.59    5.037 917.8%    0.00   0.00
T451  MVO m,m (30d)          : 11   15.52   66.30   15.390 327.2%    0.00   0.00
T500  LER R,R                : 11    4.56    8.29    4.538  81.6%    0.00   0.00
T501  LE R,m                 : 11    0.12    0.21    0.067  74.8%    0.00   0.00
T502  LE R,m (unal)          : 11    0.11    2.89    0.062 2436.%    0.00   0.00
T503  LTER R,R               : 11    0.06    9.45    0.029 17087%    0.00   0.00
T504  LCER R,R               : 11    5.38    9.89    5.357  83.8%    0.00   0.00
T505  LNER R,R               : 11    5.33    9.92    5.307  86.1%    0.00   0.00
T506  LPER R,R               : 11    5.25    9.78    5.229  86.1%    0.00   0.00
T507  LRER R,R               : 11    5.72   10.19    5.691  78.3%    0.00   0.00
T508  STE R,m                : 11    0.91    1.05    0.857  15.4%    0.00   0.00
T509  STE R,m (unal)         : 11    1.63    4.12    1.575 153.3%    0.00   0.00
T510  AER R,R                : 11   12.60   20.43   12.550  62.1%    0.00   0.00
T511  AE R,m                 : 11   18.89   25.43   18.841  34.6%    0.00   0.00
T514  MER R,R                : 11   10.76   15.97   10.709  48.3%    0.00   0.00
T515  ME R,m                 : 11   16.55   20.17   16.496  21.9%    0.00   0.00
T516  DER R,R                : 11   23.78   30.10   23.720  26.6%    0.00   0.00
T517  DE R,m                 : 11   27.92   31.54   27.863  13.0%    0.00   0.00
T520  CER R,R                : 11    9.10   14.10    9.046  55.0%    0.00   0.00
T521  CE R,m                 : 11   13.12   17.85   13.067  36.1%    0.00   0.00
T522  AUR R,R                : 11    9.73   15.60    9.679  60.2%    0.00   0.00
T523  HER R,R                : 11    8.02   14.43    7.967  79.9%    0.00   0.00
T530  LDR R,R                : 11    0.03    9.56    0.005 30748%    0.00   0.00
T531  LD R,m                 : 11    0.10    0.23    0.052 122.1%    0.00   0.00
T532  LD R,m (unal)          : 11    0.12    2.84    0.064 2351.%    0.00   0.00
T533  LTDR R,R               : 11    5.91    9.82    5.884  66.2%    0.00   0.00
T534  LCDR R,R               : 11    0.06   10.22    0.029 18487%    0.00   0.00
T535  LNDR R,R               : 11    5.72    9.96    5.690  74.3%    0.00   0.00
T536  LPDR R,R               : 11    0.05   10.97    0.028 20214%    0.00   0.00
T537  LRDR R,R               : 11    8.34   11.74    8.313  40.8%    0.00   0.00
T538  STD R,m                : 11    0.94    1.11    0.890  17.7%    0.00   0.00
T539  STD R,m (unal)         : 11    0.91    4.13    0.862 351.6%    0.00   0.00
T540  ADR R,R                : 11   12.97   20.04   12.921  54.4%    0.00   0.00
T541  AD R,m                 : 11   19.46   26.65   19.407  37.0%    0.00   0.00
T544  MDR R,R                : 11   20.32   23.54   20.264  15.9%    0.00   0.00
T545  MD R,m                 : 11   26.85   30.53   26.791  13.7%    0.00   0.00
T546  DDR R,R                : 11   80.27   88.14   80.213   9.8%    0.00   0.00
T547  DD R,m                 : 11   85.86   95.07   85.811  10.7%    0.00   0.00
T550  CDR R,R                : 11    9.51   14.69    9.461  54.5%    0.00   0.00
T551  CD R,m                 : 11   14.42   18.53   14.365  28.5%    0.00   0.00
T552  AWR R,R                : 11    9.87   15.27    9.811  54.8%    0.00   0.00
T553  HDR R,R                : 11    9.31   15.33    9.259  64.6%    0.00   0.00
T560  AXR R,R                : 11   18.44   25.15   18.390  36.4%    0.00   0.00
T561  MXR R,R                : 11   39.34   45.82   39.283  16.5%    0.00   0.00
T600  STCK m                 : 11  105.83  120.45  105.570  13.8%    0.00   0.00
T601  SPM R                  : 11    0.28    6.97    0.256 2371.%    0.00   0.00
T610  EX R,i (with TM)       : 11   40.08   45.78   40.025  14.2%    0.00   0.00
T611  EX R,i (with XI)       : 11   39.70   59.13   39.645  49.0%    0.00   0.00
T620  MVI;TS m (zero)        : 11    1.61   29.73    1.561 1742.%    0.00   0.00
T621  MVI;TS m (ones)        : 11    2.85   30.05    2.797 954.9%    0.00   0.00
T700  mix int RR basic       : 11    0.17    9.30    0.103 5433.%    0.00   0.00
T701  mix int RX             : 11    4.03    4.36    3.904   8.2%    0.00   0.00
T702  mix int RX (far)       : 11   15.82   16.99   15.696   7.4%    0.00   0.00
T703  mix int RR noopt       : 11    0.31    9.26    0.243 2906.%    0.00   0.00
T900  LR R,R (ig=1)          : 11    2.85    3.21    0.245  12.5%    0.00   0.00
T901  LR R,R (ig=2)          : 11    1.28    1.73   -0.026  35.0%    0.00   0.00
T902  LR R,R (ig=3)          : 11    0.90   54.38    0.030 5941.%    0.00   0.00
T903  LR R,R (ig=4)          : 11    0.70   41.66    0.046 5869.%    0.00   0.00
T904  LR R,R (ig=5)          : 11    0.55   34.02    0.025 6118.%    0.00   0.00
T905  LR R,R (ig=6)          : 11    0.45   28.77    0.013 6321.%    0.00   0.00
T906  LR R,R (ig=7)          : 11    0.41   24.95    0.036 6000.%    0.00   0.00
T907  LR R,R (ig=8)          : 11    0.35   22.52    0.027 6278.%    0.00   0.00
T908  LR R,R (ig=9)          : 11    0.30   20.16    0.014 6532.%    0.00   0.00
T909  LR R,R (ig=10)         : 11    0.25   18.87   -0.012 7479.%    0.00   0.00
T910  LR R,R (ig=12)         : 11    0.23   15.70    0.015 6667.%    0.00   0.00
T911  LR R,R (ig=18)         : 11    0.15   12.19    0.009 7815.%    0.00   0.00
T912  LR R,R (ig=25)         : 11    0.10    9.47   -0.000 9009.%    0.00   0.00
T913  LR R,R (ig=36)         : 11    0.07    7.26   -0.002 10272%    0.00   0.00
T914  LR R,R (ig=50)         : 11    0.05    6.01   -0.001 11692%    0.00   0.00
T915  LR R,R (ig=72)         : 11    0.04    4.87    0.003 12384%    0.00   0.00
T920  L R,m (ig=1)           : 11    4.84    6.12    2.228  26.6%    0.00   0.00
T921  L R,m (ig=2)           : 11    2.39    3.00    1.087  25.3%    0.00   0.00
T922  L R,m (ig=3)           : 11    1.62    1.97    0.751  21.8%    0.00   0.00
T923  L R,m (ig=4)           : 11    1.19    1.36    0.537  14.4%    0.00   0.00
T924  L R,m (ig=5)           : 11    0.94    1.20    0.421  26.8%    0.00   0.00
T925  L R,m (ig=6)           : 11    0.79    1.07    0.353  35.9%    0.00   0.00
T926  L R,m (ig=7)           : 11    0.69    0.81    0.319  17.1%    0.00   0.00
T927  L R,m (ig=8)           : 11    0.57    0.83    0.240  47.2%    0.00   0.00
T928  L R,m (ig=9)           : 11    0.52    0.62    0.226  20.5%    0.00   0.00
T929  L R,m (ig=10)          : 11    0.45    0.75    0.190  67.0%    0.00   0.00
T930  L R,m (ig=12)          : 11    0.39    0.55    0.173  40.0%    0.00   0.00
T931  L R,m (ig=18)          : 11    0.26    0.40    0.115  54.2%    0.00   0.00
T932  L R,m (ig=25)          : 11    0.20    0.29    0.093  46.7%    0.00   0.00
T933  L R,m (ig=36)          : 11    0.14    0.20    0.066  47.1%    0.00   0.00
T952  T700 1st  2            : 11    2.84  167.05    0.236 5771.%    0.00   0.00
T953  T700 1st  3            : 11    3.23  168.64    0.621 5120.%    0.00   0.00
T954  T700 1st  4            : 11    3.69  174.86    1.085 4633.%    0.00   0.00
T955  T700 1st  5            : 11    3.71  183.86    1.097 4861.%    0.00   0.00
T956  T700 1st  6            : 11    3.69  188.23    1.084 4997.%    0.00   0.00
T957  T700 1st  7            : 11    4.09  194.48    1.482 4653.%    0.00   0.00
T958  T700 1st  8            : 11    3.94  207.48    1.328 5170.%    0.00   0.00
T959  T700 1st  9            : 11    4.76  213.14    2.150 4378.%    0.00   0.00
T960  T700 1st 10            : 11    4.92  212.66    2.312 4221.%    0.00   0.00
T961  T700 1st 11            : 11    4.90  220.47    2.293 4397.%    0.00   0.00
T962  T700 1st 12            : 11    4.60  216.42    1.990 4605.%    0.00   0.00
T963  T700 1st 13            : 11    5.07  235.59    2.463 4544.%    0.00   0.00
T964  T700 1st 14            : 11    5.25  224.11    2.637 4172.%    0.00   0.00
T965  T700 1st 15            : 11    4.94  230.56    2.327 4570.%    0.00   0.00
T966  T700 1st 16            : 11    4.87  242.24    2.258 4877.%    0.00   0.00
T967  T700 1st 17            : 11    5.17  247.57    2.556 4693.%    0.00   0.00
T968  T700 1st 18            : 11    5.24  244.34    2.634 4560.%    0.00   0.00
T969  T700 1st 19            : 11    5.70  257.09    3.088 4412.%    0.00   0.00
T970  T700 1st 20            : 11    7.67  268.12    5.063 3394.%    0.00   0.00
T971  T700 1st 21            : 11    5.59  267.30    2.979 4683.%    0.00   0.00
T972  T700 1st 22            : 11    5.99  276.17    3.383 4508.%    0.00   0.00
T973  T700 1st 23            : 11    5.68  280.27    3.067 4837.%    0.00   0.00
T974  T700 1st 24            : 11    5.73  287.85    3.122 4922.%    0.00   0.00
T975  T700 1st 25            : 11    6.24  290.21    3.629 4552.%    0.00   0.00
T976  T700 1st 26            : 11    6.57  304.59    3.961 4536.%    0.00   0.00
T977  T700 1st 27            : 11    6.56  304.32    3.950 4539.%    0.00   0.00
T978  T700 1st 28            : 11    6.51  316.94    3.896 4772.%    0.00   0.00
T979  T700 1st 29            : 11    6.41  329.65    3.796 5046.%    0.00   0.00
T980  T700 1st 30            : 11    6.14  317.96    3.534 5076.%    0.00   0.00
T981  T700 1st 31            : 11    6.80  328.47    4.188 4732.%    0.00   0.00
T982  T700 1st 32            : 11    6.67  330.33    4.060 4853.%    0.00   0.00
T983  T700 1st 33            : 11    6.79  334.04    4.186 4816.%    0.00   0.00
T984  T700 1st 34            : 11    6.04  344.13    3.429 5599.%    0.00   0.00
T985  T700 1st 35            : 11    6.11  348.21    3.503 5597.%    0.00   0.00
T986  T700 1st 36            : 11    6.76  353.98    4.148 5138.%    0.00   0.00
T987  T700 1st 37            : 11    6.73  351.02    4.119 5117.%    0.00   0.00
T988  T700 1st 38            : 11    6.32  353.51    3.712 5492.%    0.00   0.00
T989  T700 1st 39            : 11    6.98  358.44    4.369 5036.%    0.00   0.00
T990  T700 1st 40            : 11    6.52  369.42    3.908 5568.%    0.00   0.00
D170  MVCL (10b)             : 11       -       -   25.370   7.7%    0.00   0.00
D171  MVCL (100b)            : 11       -       -   27.642   8.9%    0.00   0.00
D172  MVCL (250b)            : 11       -       -   32.123  15.4%    0.00   0.00
D173  MVCL (1kb)             : 11       -       -   54.116  13.9%    0.00   0.00
D174  MVCL (4kb)             : 11       -       -  140.031   9.8%    0.00   0.00
D175  MVCL (100b,pad)        : 11       -       -   36.354   8.2%    0.00   0.00
D176  MVCL (1kb,pad)         : 11       -       -   67.878  11.5%    0.00   0.00
D177  MVCL (4kb,pad)         : 11       -       -  151.575   8.5%    0.00   0.00
D178  MVCL (1kb,over1)       : 11       -       -   12.304  13.4%    0.00   0.00
D179  MVCL (1kb,over2)       : 11       -       -   93.259   8.6%    0.00   0.00
D215  DR R,R                 : 11       -       -   17.731  24.0%    0.00   0.00
D216  D R,m                  : 11       -       -   19.031  20.1%    0.00   0.00
D280  CLCL (100b,10b)        : 11       -       -   35.202  69.2%    0.00   0.00
D281  CLCL (4kb,10b)         : 11       -       -   34.589  71.5%    0.00   0.00
D282  CLCL (4kb,100b)        : 11       -       -  122.608  22.9%    0.00   0.00
D283  CLCL (4kb,250b)        : 11       -       -  234.569  20.7%    0.00   0.00
D290  CS R,R,m (eq,eq)       : 11       -       -    9.696  11.6%    0.00   0.00
D291  CS R,R,m (eq,ne)       : 11       -       -    9.538 367.8%    0.00   0.00
D292  CS R,R,m (ne)          : 11       -       -   46.742 258.9%    0.00   0.00
D295  CDS R,R,m (eq,eq)      : 11       -       -    9.744   9.3%    0.00   0.00
D296  CDS R,R,m (eq,ne)      : 11       -       -    9.615 129.0%    0.00   0.00
D297  CDS R,R,m (ne)         : 11       -       -  139.688  17.8%    0.00   0.00
D410  ED (10c)               : 11       -       -  155.288   8.3%    0.00   0.00
D415  EDMK (10c)             : 11       -       -  155.812   9.7%    0.00   0.00
D610  EX R,i (bare, via TM)  : 11       -       -   39.893  14.3%    0.00   0.00
D611  EX R,i (bare, via XI)  : 11       -       -   38.752  50.1%    0.00   0.00
D620  TS m (zero)            : 11       -       -    0.900 3022.%    0.00   0.00
D621  TS m (ones)            : 11       -       -    2.136 1250.%    0.00   0.00
