file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-01-21-18:23:19_J0353_PERF-ASM.prt   124 1.15e+10  229.23s  3m49.23   50.1
2018-01-21-18:27:21_J0354_PERF-ASM.prt   127 1.18e+10  231.72s  3m51.72   50.8
2018-01-21-18:31:22_J0355_PERF-ASM.prt   127 1.18e+10  231.49s  3m51.49   50.9
2018-01-21-18:35:33_J0356_PERF-ASM.prt   131 1.21e+10  240.89s  4m00.89   50.4
2018-01-21-18:39:38_J0357_PERF-ASM.prt   128 1.19e+10  235.01s  3m55.01   50.5
2018-01-21-18:43:35_J0358_PERF-ASM.prt   124 1.15e+10  227.30s  3m47.30   50.6
2018-01-21-18:47:46_J0359_PERF-ASM.prt   131 1.21e+10  241.03s  4m01.03   50.4
2018-01-21-18:51:49_J0360_PERF-ASM.prt   128 1.19e+10  233.40s  3m53.40   50.8
2018-01-21-18:55:46_J0361_PERF-ASM.prt   125 1.16e+10  227.20s  3m47.20   51.0
2018-01-21-18:59:45_J0362_PERF-ASM.prt   126 1.17e+10  229.60s  3m49.60   50.9
2018-01-21-19:03:52_J0363_PERF-ASM.prt   130 1.20e+10  238.17s  3m58.17   50.6
2018-01-21-19:07:46_J0364_PERF-ASM.prt   123 1.14e+10  224.17s  3m44.17   50.9
2018-01-21-19:11:51_J0365_PERF-ASM.prt   129 1.20e+10  234.81s  3m54.81   50.9
2018-01-21-19:15:50_J0366_PERF-ASM.prt   126 1.17e+10  229.13s  3m49.13   51.0
2018-01-21-19:19:43_J0367_PERF-ASM.prt   123 1.14e+10  223.70s  3m43.70   51.0
2018-01-21-19:23:42_J0368_PERF-ASM.prt   126 1.17e+10  229.35s  3m49.35   50.9
2018-01-21-19:27:45_J0369_PERF-ASM.prt   128 1.19e+10  233.17s  3m53.17   50.9
2018-01-21-19:31:47_J0370_PERF-ASM.prt   126 1.17e+10  232.53s  3m52.53   50.2
2018-01-21-19:35:57_J0371_PERF-ASM.prt   124 1.15e+10  240.25s  4m00.25   47.8
2018-01-21-19:40:01_J0372_PERF-ASM.prt   129 1.20e+10  234.40s  3m54.40   51.0

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx
T151  MVC m,m (100c)         : 20    39.7    42.4    41.02   2.6%   11.62   3.46
T152  MVC m,m (250c)         : 20    53.1    74.0    54.69   3.3%   15.49   4.61
T153  MVC m,m (250c,over1)   : 20   501.1   726.8   520.50   2.0%  147.39  43.87
T154  MVC m,m (250c,over2)   : 20    53.5    59.0    54.93   2.2%   15.55   4.63
T156  MVCIN m,m (10c)        : 20   125.3   131.5   127.86   2.3%   36.21  10.78
T157  MVCIN m,m (30c)        : 20   346.1   398.7   358.65   1.9%  101.56  30.23
T158  MVCIN m,m (100c)       : 20  1134.1  2154.2  1186.02   4.2%  335.85  99.96
T160  MVI m,i                : 20    13.1    16.8    13.47   2.3%    3.81   1.13
T161  MVN m,m (10c)          : 20    31.9    37.7    33.04   2.1%    9.36   2.78
T162  MVN m,m (30c)          : 20    56.5    61.6    57.35   2.5%   16.24   4.83
T165  MVZ m,m (10c)          : 20    32.1    34.0    32.91   3.3%    9.32   2.77
T166  MVZ m,m (30c)          : 20    55.5    63.7    57.67   3.8%   16.33   4.86
T170  4*LA;MVCL (10b)        : 20    59.3    64.5    60.14   1.2%   17.03   5.07
T171  4*LA;MVCL (100b)       : 20    69.7    88.0    70.66   2.4%   20.01   5.96
T172  4*LA;MVCL (250b)       : 20    83.7   100.8    85.33   2.3%   24.16   7.19
T173  4*LA;MVCL (1kb)        : 20   205.2   261.8   212.47   1.5%   60.17  17.91
T174  4*LR;MVCL (4kb)        : 20   682.9   978.3   703.19   3.7%  199.13  59.27
T175  4*LA;MVCL (100b,pad)   : 20    48.0    59.3    49.15   2.5%   13.92   4.14
T176  4*LA;MVCL (1kb,pad)    : 20    67.2    88.6    69.02   2.1%   19.55   5.82
T177  4*LA;MVCL (4kb,pad)    : 20   157.9   204.7   164.16   2.6%   46.49  13.84
T178  4*LA;MVCL (1kb,over1)  : 20    44.3    48.6    45.17   3.2%   12.79   3.81
T179  4*LA;MVCL (1kb,over2)  : 20   226.8   249.5   233.42   2.5%   66.10  19.67
T190  IC R,m                 : 20    15.2    16.2    15.67   2.4%    4.44   1.32
T191  ICM R,i,m (0010)       : 20    23.6    25.1    24.23   1.4%    6.86   2.04
T192  ICM R,i,m (1100)       : 20    23.5    25.3    23.91   2.4%    6.77   2.02
T193  ICM R,i,m (0111)       : 20    17.7    20.9    18.52   1.9%    5.24   1.56
T200  AR R,R                 : 20     4.7     6.5     4.83   1.5%    1.37   0.41
T201  A R,m                  : 20    15.8    20.5    16.09   3.6%    4.56   1.36
T202  AH R,m                 : 20    15.8    20.0    16.21   2.1%    4.59   1.37
T203  ALR R,R                : 20     4.4     5.8     4.41   3.0%    1.25   0.37
T204  AL R,m                 : 20    15.6    17.7    16.00   2.5%    4.53   1.35
T210  MR R,R                 : 20     6.5     7.1     6.42   1.6%    1.82   0.54
T211  M R,m                  : 20    16.5    17.9    16.87   1.7%    4.78   1.42
T212  MH R,m                 : 20    16.0    17.4    16.19   2.1%    4.59   1.36
T215  XR R,R; DR R,R         : 20    25.8    27.9    26.12   3.0%    7.40   2.20
T216  XR R,R; D R,m          : 20    34.9    37.2    35.34   1.8%   10.01   2.98
T220  SLA R,1                : 20     9.4    10.3     9.20   1.7%    2.61   0.78
T221  SLDA R,1               : 20    11.1    11.8    11.28   2.6%    3.19   0.95
T222  SRA R,1                : 20     7.7     8.1     7.60   1.9%    2.15   0.64
T223  SRDA R,1               : 20     8.8     9.5     9.01   1.6%    2.55   0.76
T224  SRA R,30               : 20     7.7     8.4     7.53   2.4%    2.13   0.63
T225  SRDA R,60              : 20     8.9     9.4     9.02   1.5%    2.55   0.76
T230  XR R,R                 : 20     4.6     4.9     4.70   2.5%    1.33   0.40
T231  X R,m                  : 20    15.2    16.1    15.43   1.0%    4.37   1.30
T232  XI R,i                 : 20    16.6    17.4    16.96   1.5%    4.80   1.43
T235  XC m,m (10c)           : 20    36.0    38.5    37.52   2.0%   10.62   3.16
T236  XC m,m (100c)          : 20   181.9   211.5   186.90   2.8%   52.93  15.75
T237  XC m,m (250c)          : 20   412.0   592.9   424.29   2.6%  120.15  35.76
T238  NR R,R                 : 20     4.6     6.9     4.70   2.5%    1.33   0.40
T239  OR R,R                 : 20     4.6     6.2     4.68   2.5%    1.33   0.39
T240  SLL R,1                : 20     6.4     8.9     6.37   1.1%    1.80   0.54
T241  SLDL R,1               : 20     8.7    10.1     8.81   2.6%    2.49   0.74
T242  SRL R,1                : 20     6.4     7.1     6.32   1.7%    1.79   0.53
T243  SRDL R,1               : 20     8.8     9.7     8.91   2.2%    2.52   0.75
T244  SLL R,30               : 20     6.4     7.0     6.34   2.1%    1.79   0.53
T245  SLDL R,60              : 20     8.6     9.3     8.72   1.6%    2.47   0.74
T250  TM m,i                 : 20    14.2    15.1    14.46   3.2%    4.09   1.22
T252  TR m,m (10c)           : 20    45.2    48.4    46.54   1.3%   13.18   3.92
T253  TR m,m (100c)          : 20   249.2   270.4   254.02   1.6%   71.93  21.41
T254  TR m,m (250c)          : 20   595.2   622.7   617.16   1.5%  174.77  52.02
T255  TRT m,m (10c,zero)     : 20   130.7   140.2   135.47   1.7%   38.36  11.42
T256  TRT m,m (100c,zero)    : 20  1206.2  1297.6  1245.53   2.5%  352.70 104.98
T257  TRT m,m (250c,zero)    : 20  2980.3  3252.6  3067.45   2.2%  868.63 258.53
T258  TRT m,m (250c,10b)     : 20   145.2   154.3   150.08   2.0%   42.50  12.65
T259  TRT m,m (250c,100b)    : 20  1220.9  1310.7  1259.23   1.5%  356.58 106.13
T260  CR R,R                 : 20     4.4     4.6     4.41   1.7%    1.25   0.37
T261  C R,m                  : 20    15.0    16.2    15.37   2.2%    4.35   1.30
T262  CH R,m                 : 20    16.2    17.4    16.21   1.6%    4.59   1.37
T263  CLR R,R                : 20     4.1     4.5     4.22   2.1%    1.19   0.36
T264  CL R,m                 : 20    13.4    14.2    13.69   2.8%    3.88   1.15
T265  CLI m,i                : 20    16.0    17.4    16.51   3.7%    4.67   1.39
T266  CLM R,i,m              : 20    18.9    20.1    19.27   1.6%    5.46   1.62
T270  CLC m,m (10c,eq)       : 20    47.6    50.9    48.52   2.2%   13.74   4.09
T271  CLC m,m (10c,ne)       : 20    39.6    42.3    40.48   2.5%   11.46   3.41
T272  CLC m,m (30c,eq)       : 20    63.3    67.3    65.05   2.5%   18.42   5.48
T273  CLC m,m (30c,ne)       : 20    39.6    42.4    40.21   2.9%   11.39   3.39
T274  CLC m,m (100c,eq)      : 20   116.7   126.6   121.36   2.5%   34.37  10.23
T275  CLC m,m (100c,ne)      : 20    39.4    44.0    40.70   2.6%   11.53   3.43
T276  CLC m,m (250c,eq)      : 20   231.8   274.4   240.17   2.3%   68.01  20.24
T277  CLC m,m (250c,ne)      : 20    39.6    58.5    40.67   3.2%   11.52   3.43
T280  4*LA;CLCL (100b,10b)   : 20   187.9   220.2   193.45   1.7%   54.78  16.30
T281  4*LA;CLCL (4kb,10b)    : 20   193.4   208.3   197.10   2.0%   55.81  16.61
T282  4*LA;CLCL (4kb,100b)   : 20  1564.4  1639.4  1604.05   0.9%  454.23 135.19
T283  4*LA;CLCL (4kb,250b)   : 20  3814.7  3984.4  3918.02   1.6% 1109.49 330.22
T290  LR;CS R,R,m (eq,eq)    : 20    55.1    57.3    56.25   1.5%   15.93   4.74
T291  LR;CS R,R,m (eq,ne)    : 20    54.1    57.7    55.82   1.6%   15.81   4.71
T292  LR;CS R,R,m (ne)       : 20  2269.6  2403.0  2291.28   1.3%  648.84 193.12
T295  LR;CDS R,R,m (eq,eq)   : 20    55.3    58.8    57.08   1.6%   16.16   4.81
T296  LR;CDS R,R,m (eq,ne)   : 20    56.4    60.0    57.12   2.1%   16.17   4.81
T297  LR;CDS R,R,m (ne)      : 20  2252.1  2492.8  2295.46   1.3%  650.02 193.47
T300  BCR 0,0 (noop)         : 20     3.7     4.0     3.79   1.9%    1.07   0.32
T301  BNZ l (no br)          : 20     3.8     4.0     3.77   1.6%    1.07   0.32
T302  BNZ l (do br)          : 20    10.8    11.3    11.03   1.4%    3.12   0.93
T303  BNZ l (do br, far)     : 20    21.0    22.3    21.40   1.7%    6.06   1.80
T310  BCTR R,0               : 20     4.8     5.1     4.87   1.5%    1.38   0.41
T311  BCTR R,R               : 20     9.6    10.3     9.81   2.0%    2.78   0.83
T312  BCT R,l                : 20    12.0    12.7    12.28   1.2%    3.48   1.04
T315  BXLE R,R,l             : 20    12.3    13.0    12.53   1.8%    3.55   1.06
T320  BALR R,R; BR R         : 20    17.7    19.0    18.10   2.1%    5.13   1.53
T321  BALR R,R; BR R (far)   : 20    62.6    67.6    64.58   1.4%   18.29   5.44
T322  BAL R,l; BR R          : 20    20.2    21.9    20.53   1.4%    5.81   1.73
T323  BAL R,l; BR R (far)    : 20    45.4    55.4    45.93   1.6%   13.01   3.87
T324  BASR R,R; BR R         : 20    18.0    19.7    18.51   2.1%    5.24   1.56
T325  BAS R,l; BR R          : 20    19.7    21.6    20.44   2.1%    5.79   1.72
T330  L;BALR;SAV(14,12);RET  : 20   166.7   196.2   171.25   1.7%   48.49  14.43
T400  CVB R,m                : 20    67.8    74.0    69.20   2.0%   19.60   5.83
T401  CVD R,m                : 20    71.2    76.2    73.38   1.9%   20.78   6.18
T402  PACK m,m (5d)          : 20    62.2    66.0    63.69   2.2%   18.04   5.37
T403  PACK m,m (15d)         : 20   157.0   166.3   159.98   1.5%   45.30  13.48
T404  UNPK m,m (5d)          : 20    70.0    76.0    71.47   2.6%   20.24   6.02
T405  UNPK m,m (15d)         : 20   168.6   207.4   172.18   2.4%   48.76  14.51
T410  MVC;ED (10c)           : 20   252.2   272.7   258.22   1.3%   73.12  21.76
T411  MVC;ED (30c)           : 20   707.7   856.5   728.50   3.6%  206.29  61.40
T415  MVC;EDMK (10c)         : 20   254.7   315.1   263.58   2.9%   74.64  22.22
T420  AP m,m (10d)           : 20   475.0   556.1   485.10   2.7%  137.37  40.89
T421  AP m,m (30d)           : 20   544.8   627.4   562.39   1.6%  159.26  47.40
T422  MP m,m (10d)           : 20   532.5   654.6   549.08   4.1%  155.49  46.28
T423  MP m,m (30d)           : 20   535.0   628.1   553.61   1.3%  156.77  46.66
T430  CP m,m (10d)           : 20   354.2   396.5   361.29   2.0%  102.31  30.45
T431  CP m,m (30d)           : 20   356.5   408.0   364.72   2.3%  103.28  30.74
T440  ZAP m,m (10d,10d)      : 20   221.9   234.1   226.53   1.9%   64.15  19.09
T441  ZAP m,m (30d,30d)      : 20   220.7   238.0   226.58   1.6%   64.16  19.10
T442  ZAP m,m (10d,30d)      : 20   220.0   235.7   226.50   2.0%   64.14  19.09
T443  ZAP m,m (30d,10d)      : 20   219.3   234.0   224.81   1.2%   63.66  18.95
T445  MVC;SRP m,i,i (30d,<<) : 20   259.8   279.5   266.44   1.7%   75.45  22.46
T446  MVC;SRP m,i,i (30d,>>) : 20   355.6   389.1   364.77   1.6%  103.30  30.74
T450  MVO m,m (10d)          : 20    85.2   242.0    87.10   1.0%   24.67   7.34
T451  MVO m,m (30d)          : 20   222.9   616.0   230.72   1.9%   65.33  19.45
T500  LER R,R                : 20     6.3    15.3     6.40   2.1%    1.81   0.54
T501  LE R,m                 : 20    15.2    33.9    15.73   3.7%    4.45   1.33
T502  LE R,m (unal)          : 20    15.9    31.4    16.20   2.0%    4.59   1.37
T503  LTER R,R               : 20     8.1    14.4     8.20   1.3%    2.32   0.69
T504  LCER R,R               : 20     8.3    14.4     8.55   2.5%    2.42   0.72
T505  LNER R,R               : 20     7.4    12.2     7.61   1.9%    2.16   0.64
T506  LPER R,R               : 20     8.0    12.3     8.24   2.6%    2.33   0.69
T507  LRER R,R               : 20    10.3    14.2    10.51   3.6%    2.98   0.89
T508  STE R,m                : 20    14.5    18.5    14.67   1.6%    4.15   1.24
T509  STE R,m (unal)         : 20    15.1    19.0    15.33   1.5%    4.34   1.29
T510  AER R,R                : 20    18.8    23.3    19.44   2.1%    5.51   1.64
T511  AE R,m                 : 20    27.0    34.9    27.96   1.2%    7.92   2.36
T512  MER R,R                : 20    15.1    15.9    15.39   2.2%    4.36   1.30
T513  ME R,m                 : 20    23.4    25.1    24.01   2.4%    6.80   2.02
T514  DER R,R                : 20    28.5    29.9    28.98   2.0%    8.21   2.44
T515  DE R,m                 : 20    35.3    37.5    36.06   1.8%   10.21   3.04
T516  CER R,R                : 20    16.6    18.1    17.01   1.8%    4.82   1.43
T517  CE R,m                 : 20    24.7    26.3    25.22   1.7%    7.14   2.13
T518  AUR R,R                : 20    20.3    21.3    20.83   1.8%    5.90   1.76
T519  HER R,R                : 20    10.8    11.3    10.88   2.5%    3.08   0.92
T520  LDR R,R                : 20     6.8     7.2     6.94   3.1%    1.97   0.59
T521  LD R,m                 : 20    15.9    16.8    16.22   2.6%    4.59   1.37
T522  LD R,m (unal)          : 20    15.9    16.8    16.18   2.1%    4.58   1.36
T523  LTDR R,R               : 20     7.9     8.5     8.02   2.1%    2.27   0.68
T524  LCDR R,R               : 20     8.3     8.7     8.37   1.6%    2.37   0.71
T525  LNDR R,R               : 20    10.0    10.9    10.36   2.6%    2.93   0.87
T526  LPDR R,R               : 20     9.7    10.7     9.81   1.7%    2.78   0.83
T527  LRDR R,R               : 20    11.9    12.5    12.17   2.0%    3.45   1.03
T528  STD R,m                : 20    15.6    16.5    15.91   1.7%    4.50   1.34
T529  STD R,m (unal)         : 20    15.9    16.9    16.27   2.1%    4.61   1.37
T530  ADR R,R                : 20    21.1    22.8    21.15   0.8%    5.99   1.78
T531  AD R,m                 : 20    28.4    30.2    29.27   2.3%    8.29   2.47
T532  MDR R,R                : 20    24.6    26.5    25.23   1.6%    7.14   2.13
T533  MD R,m                 : 20    32.8    34.3    33.37   1.4%    9.45   2.81
T534  DDR R,R                : 20   217.2   242.3   224.73   2.5%   63.64  18.94
T535  DD R,m                 : 20   226.2   239.7   233.56   2.3%   66.14  19.69
T536  CDR R,R                : 20    18.0    19.2    18.39   2.4%    5.21   1.55
T537  CD R,m                 : 20    25.8    27.8    26.48   1.7%    7.50   2.23
T538  AWR R,R                : 20    18.7    20.1    19.30   1.9%    5.46   1.63
T539  HDR R,R                : 20    11.4    12.8    11.61   2.4%    3.29   0.98
T540  AXR R,R                : 20    35.7    39.0    36.66   2.8%   10.38   3.09
T541  MXR R,R                : 20    47.4    51.3    49.21   2.0%   13.93   4.15
T600  STCK m                 : 20  1620.9  1779.8  1727.37   2.1%  489.15 145.59
T601  SPM R                  : 20     4.0     4.9     4.21  11.1%    1.19   0.35
T610  EX R,i (with TM)       : 20    43.1    46.2    44.37   3.5%   12.56   3.74
T611  EX R,i (with XI)       : 20    45.7    49.1    47.37   2.0%   13.41   3.99
T620  MVI;TS m (zero)        : 20    60.0    62.3    61.29   1.7%   17.36   5.17
T621  MVI;TS m (ones)        : 20  2258.7  2421.5  2320.39   1.5%  657.08 195.57
T700  mix int RR basic       : 20    10.1    10.6    10.18   3.3%    2.88   0.86
T701  mix int RX             : 20    17.4    18.5    17.50   2.2%    4.96   1.48
T702  mix int RX (far)       : 20    17.3    19.2    17.44   2.3%    4.94   1.47
