T151  MVC m,m (100c)         : 30  3219.4  3228.0  3218.95 0.011%   55.56  18.01  225.73   -27%    56     2
T152  MVC m,m (250c)         : 30  7711.3  7718.4  7706.37 0.045%  133.01  43.12  540.41    40%   135     0
T153  MVC m,m (250c,over1)   : 30  2430.1  2468.3  2421.60 0.006%   41.80  13.55  169.81   -18%    42     2
T154  MVC m,m (250c,over2)   : 30  4180.1  4606.8  4175.12 0.022%   72.06  23.36  292.78   -21%    73     1
T160  MVI m,i                : 30   147.2   148.0   145.59 0.473%    2.51   0.81   10.21    20%     2     2
T170  4*LA;MVCL (10b)        : 30  1125.7  1273.5  1111.91 4.620%   19.19   6.22   77.97    -2%    19     2
T171  4*LA;MVCL (100b)       : 30  2404.9  2558.6  2388.29 2.529%   41.22  13.36  167.48    47%    41     3
T172  4*LA;MVCL (250b)       : 30  4623.1  4774.9  4610.88 1.052%   79.58  25.80  323.34    33%    80     3
T173  4*LA;MVCL (1kb)        : 30 17236.0 17538.7 17231.71 0.262%  297.41  96.42 1208.37    37%   302     0
T175  4*LA;MVCL (100b,pad)   : 30  1983.9  2006.9  1967.34 0.165%   33.96  11.01  137.96    -4%    34     2
T176  4*LA;MVCL (1kb,pad)    : 30  8866.4  8891.3  8850.09 0.054%  152.75  49.52  620.61   -38%   155     1
T178  4*LA;MVCL (1kb,over1)  : 30  1108.0  1114.8  1093.28 0.198%   18.87   6.12   76.67   -33%    19     1
T179  4*LA;MVCL (1kb,over2)  : 30 34695.3 34781.8 34689.39 0.057%  598.73 194.10 2432.59   -40%   608     1
T190  IC R,m                 : 30   176.2   177.8   174.61 0.031%    3.01   0.98   12.24    24%     3     0
T193  ICM R,i,m (0111)       : 30   291.6   293.4   290.71 0.294%    5.02   1.63   20.39    38%     5     0
T200  AR R,R                 : 30    60.0    60.8    58.33 0.455%    1.01   0.33    4.09     9%     1     0
T201  A R,m                  : 30   178.1   179.0   174.72 0.083%    3.02   0.98   12.25    25%     3     0
T202  AH R,m                 : 30   178.0   180.5   175.47 0.448%    3.03   0.98   12.30    30%     3     0
T203  ALR R,R                : 30    59.5    59.8    57.79 0.081%    1.00   0.32    4.05     5%     1     0
T204  AL R,m                 : 30   178.1   179.0   174.72 0.076%    3.02   0.98   12.25    25%     3     0
T210  MR R,R                 : 30   413.8   415.2   408.54 0.102%    7.05   2.29   28.65   -35%     7     1
T215  XR R,R; DR R,R         : 30   585.5   588.8   578.44 0.268%    9.98   3.24   40.56   -43%    10     1
T220  SLA R,1                : 30   240.2   240.8   234.98 0.243%    4.06   1.31   16.48    47%     4     0
T221  SLDA R,1               : 30   435.4   436.6   432.61 0.022%    7.47   2.42   30.34    33%     7     2
T222  SRA R,1                : 30   182.8   183.3   177.55 0.036%    3.06   0.99   12.45    45%     3     0
T223  SRDA R,1               : 30   464.0   465.1   461.26 0.124%    7.96   2.58   32.35    34%     8     0
T224  SRA R,30               : 30   183.5   191.1   178.26 0.193%    3.08   1.00   12.50   -49%     3     1
T225  SRDA R,60              : 30   463.0   464.8   460.22 0.100%    7.94   2.58   32.27    27%     8     0
T230  XR R,R                 : 30    59.5    59.8    58.04 0.464%    1.00   0.32    4.07     7%     1     0
T231  X R,m                  : 30   178.1   179.3   174.74 0.431%    3.02   0.98   12.25    25%     3     0
T232  XI m,i                 : 30   221.9   222.9   218.64 0.382%    3.77   1.22   15.33    33%     3     3
T235  XC m,m (10c)           : 30   874.8   879.1   873.55 0.189%   15.08   4.89   61.26    25%    15     1
T236  XC m,m (100c)          : 30  3966.6  3983.7  3966.62 0.030%   68.46  22.19  278.16    15%    69     2
T237  XC m,m (250c)          : 30 11357.5 11384.1 11370.42 0.016%  196.25  63.62  797.35    35%   199     1
T240  SLL R,1                : 30   182.9   183.8   177.18 0.260%    3.06   0.99   12.42    42%     3     0
T241  SLDL R,1               : 30   348.8   350.2   346.00 0.144%    5.97   1.94   24.26    26%     6     0
T242  SRL R,1                : 30   182.8   183.4   177.53 0.262%    3.06   0.99   12.45    44%     3     0
T243  SRDL R,1               : 30   349.9   350.9   347.10 0.139%    5.99   1.94   24.34    34%     6     0
T244  SLL R,30               : 30   182.8   183.7   177.53 0.233%    3.06   0.99   12.45    44%     3     0
T245  SLDL R,60              : 30   348.7   349.7   345.94 0.027%    5.97   1.94   24.26    25%     6     0
T250  TM m,i                 : 30   181.5   183.9   178.92 0.447%    3.09   1.00   12.55   -45%     3     1
T260  CR R,R                 : 30    60.0    60.3    58.32 0.028%    1.01   0.33    4.09     8%     1     0
T261  C R,m                  : 30   178.0   178.9   174.73 0.369%    3.02   0.98   12.25    25%     3     0
T262  CH R,m                 : 30   179.4   181.5   176.43 0.364%    3.05   0.99   12.37    37%     3     0
T263  CLR R,R                : 30    60.0    60.3    58.32 0.069%    1.01   0.33    4.09     8%     1     0
T264  CL R,m                 : 30   178.0   180.3   175.31 0.363%    3.03   0.98   12.29    29%     3     0
T265  CLI m,i                : 30   178.0   178.9   174.68 0.080%    3.01   0.98   12.25    24%     3     0
T266  CLM R,i,m              : 30   236.6   240.0   233.75 0.405%    4.03   1.31   16.39    39%     4     0
T270  CLC m,m (10c,eq)       : 30   532.5   541.3   524.21 0.576%    9.05   2.93   36.76   -23%     9     1
T271  CLC m,m (10c,ne)       : 30   476.4   479.8   468.11 0.103%    8.08   2.62   32.83   -17%     8     1
T272  CLC m,m (30c,eq)       : 30   358.1   362.7   349.58 0.048%    6.03   1.96   24.51   -48%     6     1
T273  CLC m,m (30c,ne)       : 30   366.4   369.8   357.88 0.125%    6.18   2.00   25.10     9%     6     1
T300  BCR 0,0 (noop)         : 30    59.5    60.1    57.97 0.323%    1.00   0.32    4.07     6%     1     0
T301  BNZ l (no br)          : 30    60.0    60.3    58.34 0.326%    1.01   0.33    4.09     9%     1     0
T302  BNZ l (do br)          : 30   250.2   251.9   247.98 0.038%    4.28   1.39   17.39    38%     4     1
T311  BCTR R,R               : 30   114.1   115.1   114.18 0.090%    1.97   0.64    8.01     0%     2     0
T312  BCT R,l                : 30   171.2   172.2   171.34 0.525%    2.96   0.96   12.01     1%     3     0
T315  BXLE R,R,l             : 30   290.6   293.2   288.98 0.271%    4.99   1.62   20.26    26%     5     0
T320  BALR R,R; BR R         : 30   472.5   594.7   470.23 0.046%    8.12   2.63   32.97    -2%     8     1
T322  BAL R,l; BR R          : 30   470.1   471.5   467.79 0.265%    8.07   2.62   32.80   -19%     8     1
T330  L;BALR;SAV(14,12);RET  : 30  3157.0  3899.9  3149.03 6.637%   54.35  17.62  220.83   -17%    55     1
T400  CVB R,m                : 30  2245.1  2251.3  2241.95 0.015%   38.70  12.54  157.22    21%    39     1
T401  CVD R,m                : 30  2895.8  2904.5  2895.32 0.014%   49.97  16.20  203.03     3%    50     3
T402  PACK m,m (5d)          : 30  1057.5  1062.6  1050.95 0.308%   18.14   5.88   73.70   -30%    18     2
T403  PACK m,m (15d)         : 30  2524.1  2533.2  2523.18 0.313%   43.55  14.12  176.94    -6%    44     1
T404  UNPK m,m (5d)          : 30  1309.4  1319.7  1304.19 0.266%   22.51   7.30   91.46    45%    22     3
T405  UNPK m,m (15d)         : 30  2860.8  2870.9  2856.44 0.279%   49.30  15.98  200.31    30%    50     0
T410  MVC;ED (10c)           : 30  9854.4  9881.1  9838.52 0.020%  169.81  55.05  689.93    -7%   172     2
T411  MVC;ED (30c)           : 30 27793.2 27914.0 27792.52 0.151%  479.69 155.51 1948.95    -4%   487     1
T420  AP m,m (10d)           : 30  2605.0  2627.3  2599.48 0.077%   44.87  14.55  182.29    28%    45     2
T421  AP m,m (30d)           : 30  3051.4  3073.9  3047.92 0.112%   52.61  17.05  213.74   -26%    53     2
T422  MP m,m (10d)           : 30  5771.4  5828.5  5766.25 0.333%   99.52  32.26  404.36    35%   101     0
T423  MP m,m (30d)           : 30  6036.5  6102.5  6049.68 0.320%  104.42  33.85  424.23    23%   106     0
T430  CP m,m (10d)           : 30  1637.9  1652.8  1632.27 0.104%   28.17   9.13  114.46    46%    28     2
T431  CP m,m (30d)           : 30  2103.4  2118.7  2097.76 0.096%   36.21  11.74  147.11    10%    36     3
T500  LER R,R                : 30   115.9   116.5   114.66 0.325%    1.98   0.64    8.04     4%     2     0
T501  LE R,m                 : 30   178.5   278.0   175.21 0.439%    3.02   0.98   12.29    28%     3     0
T502  LE R,m (unal)          : 30   294.7   295.7   292.10 0.254%    5.04   1.63   20.48    48%     5     0
T503  LTER R,R               : 30   229.5   230.3   228.26 0.011%    3.94   1.28   16.01     0%     4     0
T508  STE R,m                : 30   184.7   185.6   181.42 0.438%    3.13   1.02   12.72   -27%     3     1
T509  STE R,m (unal)         : 30   376.7   378.7   374.18 0.039%    6.46   2.09   26.24    23%     6     2
T510  AER R,R                : 30   338.1   341.0   334.72 0.283%    5.78   1.87   23.47    47%     5     3
T511  AE R,m                 : 30   397.9   399.5   395.89 0.313%    6.83   2.22   27.76   -23%     7     0
T512  MER R,R                : 30   745.1   747.4   741.87 0.105%   12.80   4.15   52.02     2%    13     0
T513  ME R,m                 : 30   802.4   805.7   799.04 0.029%   13.79   4.47   56.03     3%    14     0
T514  DER R,R                : 30  2114.4  2120.5  2113.16 0.020%   36.47  11.82  148.19    18%    37     0
T515  DE R,m                 : 30  2171.5  2175.1  2170.25 0.015%   37.46  12.14  152.19    18%    38     0
T516  CER R,R                : 30   342.9   344.5   340.30 0.247%    5.87   1.90   23.86   -13%     6     0
T517  CE R,m                 : 30   400.9   404.0   398.45 0.263%    6.88   2.23   27.94    -5%     7     0
T518  AUR R,R                : 30   350.1   351.1   347.48 0.040%    6.00   1.94   24.37    36%     6     0
T519  HER R,R                : 30   406.1   406.7   402.79 0.023%    6.95   2.25   28.25    24%     7     0
T520  LDR R,R                : 30   116.7   117.2   115.04 0.337%    1.99   0.64    8.07     6%     2     0
T521  LD R,m                 : 30   239.2   240.9   236.59 0.335%    4.08   1.32   16.59   -40%     4     1
T522  LD R,m (unal)          : 30   349.3   352.0   346.67 0.044%    5.98   1.94   24.31    31%     6     0
T523  LTDR R,R               : 30   229.8   231.1   228.55 0.014%    3.94   1.28   16.03     2%     4     0
T528  STD R,m                : 30   236.5   237.5   233.20 0.331%    4.02   1.30   16.35    35%     4     0
T529  STD R,m (unal)         : 30   469.1   471.4   466.48 0.012%    8.05   2.61   32.71   -28%     8     1
T530  ADR R,R                : 30   339.5   341.8   336.14 0.283%    5.80   1.88   23.57   -42%     6     0
T531  AD R,m                 : 30   453.1   454.6   450.95 0.291%    7.78   2.52   31.62   -37%     8     0
T532  MDR R,R                : 30   918.0   920.1   914.86 0.013%   15.79   5.12   64.15    15%    16     0
T533  MD R,m                 : 30  1030.7  1039.8  1029.52 0.021%   17.77   5.76   72.19    19%    18     0
T534  DDR R,R                : 30  3939.3  3952.1  3936.66 0.281%   67.95  22.03  276.06     5%    69     0
T535  DD R,m                 : 30  4053.6  4088.0  4061.29 0.213%   70.10  22.72  284.80   -20%    71     1
T536  CDR R,R                : 30   343.0   345.8   339.61 0.279%    5.86   1.90   23.82   -18%     6     0
T537  CD R,m                 : 30   457.0   458.5   454.89 0.213%    7.85   2.55   31.90   -10%     8     0
T538  AWR R,R                : 30   350.6   352.4   348.07 0.252%    6.01   1.95   24.41    40%     6     0
T539  HDR R,R                : 30   403.7   404.3   400.35 0.137%    6.91   2.24   28.07     7%     7     0
T540  AXR R,R                : 30   677.0   680.0   673.71 0.280%   11.63   3.77   47.24    24%    11     3
T541  MXR R,R                : 30  3045.5  3055.1  3044.45 0.061%   52.55  17.03  213.49    49%    53     1
T600  STCK m                 : 30   412.4   456.0   395.31 0.009%    6.82   2.21   27.72   -27%     7     0
T601  SPM R                  : 30   117.1   117.4   115.57 0.010%    1.99   0.65    8.10    10%     2     0
T610  EX R,i (with TM)       : 30   526.6   532.4   523.43 0.319%    9.03   2.93   36.71   -29%     9     1
T611  EX R,i (with XI)       : 30   527.0   529.8   524.07 0.457%    9.05   2.93   36.75   -24%     9     1
