numbers extracted from A22_6825-1 "System/360 Instruction Timing Information"

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T431  CP m,m (30d)           :  1       -       -  10000.0  0.00%   25.00   9.52
T260  CR R,R                 :  1       -       -    400.0  0.00%    1.00   0.38
T400  CVB R,m                :  1       -       -   3800.0  0.00%    9.50   3.62
T401  CVD R,m                :  1       -       -   7200.0  0.00%   18.00   6.86
D216  D R,m                  :  1       -       -   5700.0  0.00%   14.25   5.43
T547  DD R,m                 :  1       -       -   7300.0  0.00%   18.25   6.95
T546  DDR R,R                :  1       -       -   7300.0  0.00%   18.25   6.95
T517  DE R,m                 :  1       -       -   4100.0  0.00%   10.25   3.90
T516  DER R,R                :  1       -       -   4100.0  0.00%   10.25   3.90
D426  DP m,m (10d)           :  1       -       -  24810.0  0.00%   62.02  23.63
D427  DP m,m (30d)           :  1       -       -  93110.0  0.00%  232.78  88.68
D215  DR R,R                 :  1       -       -   5500.0  0.00%   13.75   5.24
D410  ED (10c)               :  1       -       -   8900.0  0.00%   22.25   8.48
D411  ED (30c)               :  1       -       -  18900.0  0.00%   47.25  18.00
D415  EDMK (10c)             :  1       -       -   9900.0  0.00%   24.75   9.43
D610  EX R,i (bare, via TM)  :  1       -       -   3200.0  0.00%    8.00   3.05
D611  EX R,i (bare, via XI)  :  1       -       -   3200.0  0.00%    8.00   3.05
T553  HDR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T523  HER R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T190  IC R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T102  L R,m                  :  1       -       -   1050.0  0.00%    2.62   1.00
T101  LA R,n                 :  1       -       -   1080.0  0.00%    2.70   1.03
T534  LCDR R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T504  LCER R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T107  LCR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T531  LD R,m                 :  1       -       -   1050.0  0.00%    2.62   1.00
T530  LDR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T501  LE R,m                 :  1       -       -   1050.0  0.00%    2.62   1.00
T500  LER R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T104  LH R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T123  LM 2,3,m (2r)          :  1       -       -   1920.0  0.00%    4.80   1.83
T124  LM 2,7,m (6r)          :  1       -       -   2960.0  0.00%    7.40   2.82
T125  LM 0,11,m (12r)        :  1       -       -   4520.0  0.00%   11.30   4.30
T535  LNDR R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T505  LNER R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T108  LNR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T536  LPDR R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T506  LPER R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T109  LPR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T100  LR R,R                 :  1       -       -    400.0  0.00%    1.00   0.38
T533  LTDR R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T503  LTER R,R               :  1       -       -    400.0  0.00%    1.00   0.38
T106  LTR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T211  M R,m                  :  1       -       -   2800.0  0.00%    7.00   2.67
T545  MD R,m                 :  1       -       -   4200.0  0.00%   10.50   4.00
T544  MDR R,R                :  1       -       -   4200.0  0.00%   10.50   4.00
T515  ME R,m                 :  1       -       -   2200.0  0.00%    5.50   2.10
T514  MER R,R                :  1       -       -   2200.0  0.00%    5.50   2.10
T212  MH R,m                 :  1       -       -   3200.0  0.00%    8.00   3.05
T424  MP m,m (10d)           :  1       -       -  18180.0  0.00%   45.45  17.31
T425  MP m,m (30d)           :  1       -       -  52680.0  0.00%  131.70  50.17
T210  MR R,R                 :  1       -       -   2800.0  0.00%    7.00   2.67
T150  MVC m,m (5c)           :  1       -       -   6000.0  0.00%   15.00   5.71
T151  MVC m,m (10c)          :  1       -       -   8000.0  0.00%   20.00   7.62
T152  MVC m,m (15c)          :  1       -       -  10000.0  0.00%   25.00   9.52
T153  MVC m,m (30c)          :  1       -       -  16000.0  0.00%   40.00  15.24
T154  MVC m,m (100c)         :  1       -       -  44000.0  0.00%  110.00  41.90
T155  MVC m,m (250c)         :  1       -       - 104000.0  0.00%  260.00  99.05
T156  MVC m,m (250c,over1)   :  1       -       - 104000.0  0.00%  260.00  99.05
T157  MVC m,m (250c,over2)   :  1       -       - 104000.0  0.00%  260.00  99.05
T160  MVI m,i                :  1       -       -   1460.0  0.00%    3.65   1.39
T161  MVN m,m (10c)          :  1       -       -   7600.0  0.00%   19.00   7.24
T162  MVN m,m (30c)          :  1       -       -  15600.0  0.00%   39.00  14.86
T450  MVO m,m (10d)          :  1       -       -   7350.0  0.00%   18.38   7.00
T451  MVO m,m (30d)          :  1       -       -  14350.0  0.00%   35.88  13.67
T165  MVZ m,m (10c)          :  1       -       -   7600.0  0.00%   19.00   7.24
T166  MVZ m,m (30c)          :  1       -       -  15600.0  0.00%   39.00  14.86
T238  NR R,R                 :  1       -       -    600.0  0.00%    1.50   0.57
T239  OR R,R                 :  1       -       -    600.0  0.00%    1.50   0.57
T402  PACK m,m (5d)          :  1       -       -   5450.0  0.00%   13.62   5.19
T403  PACK m,m (15d)         :  1       -       -   8450.0  0.00%   21.12   8.05
T206  S R,m                  :  1       -       -   1050.0  0.00%    2.62   1.00
T543  SD R,m                 :  1       -       -   1130.0  0.00%    2.83   1.08
T542  SDR R,R                :  1       -       -    850.0  0.00%    2.12   0.81
T513  SE R,m                 :  1       -       -   1130.0  0.00%    2.83   1.08
T512  SER R,R                :  1       -       -    850.0  0.00%    2.12   0.81
T207  SH R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T209  SL R,m                 :  1       -       -   1050.0  0.00%    2.62   1.00
T220  SLA R,1                :  1       -       -    400.0  0.00%    1.00   0.38
T221  SLDA R,1               :  1       -       -    600.0  0.00%    1.50   0.57
T241  SLDL R,1               :  1       -       -    600.0  0.00%    1.50   0.57
T245  SLDL R,60              :  1       -       -   2000.0  0.00%    5.00   1.90
T240  SLL R,1                :  1       -       -    400.0  0.00%    1.00   0.38
T244  SLL R,30               :  1       -       -   1000.0  0.00%    2.50   0.95
T208  SLR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T422  SP m,m (10d)           :  1       -       -   6200.0  0.00%   15.50   5.90
T423  SP m,m (30d)           :  1       -       -  10200.0  0.00%   25.50   9.71
T601  SPM R                  :  1       -       -    800.0  0.00%    2.00   0.76
T205  SR R,R                 :  1       -       -    400.0  0.00%    1.00   0.38
T222  SRA R,1                :  1       -       -    400.0  0.00%    1.00   0.38
T224  SRA R,30               :  1       -       -   1000.0  0.00%    2.50   0.95
T223  SRDA R,1               :  1       -       -    600.0  0.00%    1.50   0.57
T225  SRDA R,60              :  1       -       -   2000.0  0.00%    5.00   1.90
T243  SRDL R,1               :  1       -       -    600.0  0.00%    1.50   0.57
T242  SRL R,1                :  1       -       -    400.0  0.00%    1.00   0.38
T110  ST R,m                 :  1       -       -   1260.0  0.00%    3.15   1.20
T115  STC R,m                :  1       -       -   1460.0  0.00%    3.65   1.39
T538  STD R,m                :  1       -       -   1260.0  0.00%    3.15   1.20
T508  STE R,m                :  1       -       -   1260.0  0.00%    3.15   1.20
T112  STH R,m                :  1       -       -   1460.0  0.00%    3.65   1.39
T120  STM 2,3,m (2r)         :  1       -       -   1860.0  0.00%    4.65   1.77
T121  STM 2,7,m (6r)         :  1       -       -   2660.0  0.00%    6.65   2.53
T122  STM 14,12,m (15r)      :  1       -       -   4460.0  0.00%   11.15   4.25
T250  TM m,i                 :  1       -       -   1080.0  0.00%    2.70   1.03
T252  TR m,m (10c)           :  1       -       -  18000.0  0.00%   45.00  17.14
T253  TR m,m (100c)          :  1       -       - 144000.0  0.00%  360.00 137.14
T254  TR m,m (250c)          :  1       -       - 354000.0  0.00%  885.00 337.14
T255  TRT m,m (10c,zero)     :  1       -       -   6000.0  0.00%   15.00   5.71
T256  TRT m,m (100c,zero)    :  1       -       -   6000.0  0.00%   15.00   5.71
T257  TRT m,m (250c,zero)    :  1       -       -   6000.0  0.00%   15.00   5.71
T258  TRT m,m (250c,10b)     :  1       -       -  18600.0  0.00%   46.50  17.71
T259  TRT m,m (250c,100b)    :  1       -       - 144600.0  0.00%  361.50 137.71
T404  UNPK m,m (5d)          :  1       -       -   5600.0  0.00%   14.00   5.33
T405  UNPK m,m (15d)         :  1       -       -   8850.0  0.00%   22.12   8.43
T231  X R,m                  :  1       -       -   1080.0  0.00%    2.70   1.03
T235  XC m,m (10c)           :  1       -       -   7600.0  0.00%   19.00   7.24
T236  XC m,m (100c)          :  1       -       -  43600.0  0.00%  109.00  41.52
T237  XC m,m (250c)          :  1       -       - 103600.0  0.00%  259.00  98.67
T232  XI m,i                 :  1       -       -   2200.0  0.00%    5.50   2.10
T230  XR R,R                 :  1       -       -    600.0  0.00%    1.50   0.57
T440  ZAP m,m (10d,10d)      :  1       -       -   6000.0  0.00%   15.00   5.71
T441  ZAP m,m (30d,30d)      :  1       -       -   9500.0  0.00%   23.75   9.05
T442  ZAP m,m (10d,30d)      :  1       -       -   6500.0  0.00%   16.25   6.19
T443  ZAP m,m (30d,10d)      :  1       -       -   9000.0  0.00%   22.50   8.57
