file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-07:44:16_J6094_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:44:26_J6095_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.0
2018-03-31-07:44:35_J6096_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:44:44_J6097_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:44:53_J6098_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:45:01_J6099_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.0
2018-03-31-07:45:08_J6100_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:45:17_J6101_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.2
2018-03-31-07:45:26_J6102_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:45:33_J6103_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.4
2018-03-31-07:45:39_J6104_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
2018-03-31-07:45:47_J6105_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.2
2018-03-31-07:45:56_J6106_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.1
2018-03-31-07:46:04_J6107_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.7
2018-03-31-07:46:12_J6108_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.6
2018-03-31-07:46:19_J6109_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.7
2018-03-31-07:46:28_J6110_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.8
2018-03-31-07:46:37_J6111_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   92.8
2018-03-31-07:46:45_J6112_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.8
2018-03-31-07:46:53_J6113_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:47:01_J6114_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.2
2018-03-31-07:47:11_J6115_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   90.9
2018-03-31-07:47:21_J6116_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.8
2018-03-31-07:47:29_J6117_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.2
2018-03-31-07:47:38_J6118_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.4
2018-03-31-07:47:46_J6119_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   92.9
2018-03-31-07:47:53_J6120_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:48:02_J6121_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.6
2018-03-31-07:48:11_J6122_PERF-ASM.prt     1 1.32e+08    1.47s  0m01.47   90.3
2018-03-31-07:48:20_J6123_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.6
2018-03-31-07:48:29_J6124_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:48:38_J6125_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.6
2018-03-31-07:48:47_J6126_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:48:56_J6127_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
2018-03-31-07:49:06_J6128_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.3
2018-03-31-07:49:16_J6129_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:49:25_J6130_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.9
2018-03-31-07:49:33_J6131_PERF-ASM.prt     1 1.32e+08    1.47s  0m01.47   90.2
2018-03-31-07:49:43_J6132_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:49:52_J6133_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:49:59_J6134_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.6
2018-03-31-07:50:06_J6135_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.2
2018-03-31-07:50:15_J6136_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
2018-03-31-07:50:24_J6137_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.1
2018-03-31-07:50:32_J6138_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.2
2018-03-31-07:50:40_J6139_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:50:50_J6140_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.4
2018-03-31-07:50:59_J6141_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.1
2018-03-31-07:51:06_J6142_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   92.8
2018-03-31-07:51:16_J6143_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
2018-03-31-07:51:26_J6144_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:51:34_J6145_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.7
2018-03-31-07:51:42_J6146_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.9
2018-03-31-07:51:50_J6147_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.2
2018-03-31-07:51:59_J6148_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
2018-03-31-07:52:09_J6149_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:52:16_J6150_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.5
2018-03-31-07:52:26_J6151_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:52:34_J6152_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.6
2018-03-31-07:52:43_J6153_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.6
2018-03-31-07:52:53_J6154_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.0
2018-03-31-07:53:00_J6155_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.8
2018-03-31-07:53:07_J6156_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 99     2.2     5.0     2.17 10.40%    1.00   0.28
T101  LA R,n                 : 99     2.9     3.7     2.84  3.62%    1.31   0.37
T102  L R,m                  : 99     7.7    23.0     7.65  1.25%    3.53   1.00
T103  L R,m (unal)           : 99     8.9    14.4     8.82  0.41%    4.07   1.15
T104  LH R,m                 : 99     9.4    13.5     9.32  0.38%    4.30   1.22
T105  LH R,m (unal3)         : 99     9.8    24.0     9.74  0.43%    4.50   1.27
T106  LTR R,R                : 99     3.7     7.4     3.61  0.30%    1.66   0.47
T107  LCR R,R                : 99     3.8     6.7     3.71  0.32%    1.71   0.49
T108  LNR R,R                : 99     3.4     8.7     3.31  0.27%    1.53   0.43
T109  LPR R,R                : 99     3.9     4.9     3.88  0.32%    1.79   0.51
T110  ST R,m                 : 99     8.0    12.9     7.91  0.47%    3.65   1.03
T111  ST R,m (unal)          : 99     8.8    10.4     9.51 13.09%    4.39   1.24
T112  STH R,m                : 99     9.8    17.0     9.70  0.28%    4.47   1.27
T113  STH R,m (unal1)        : 99     9.7    15.0     9.63  0.47%    4.44   1.26
T114  STH R,m (unal3)        : 99     9.6    28.1     9.59  0.49%    4.43   1.25
T115  STC R,m                : 99     9.1    14.6     9.06  0.41%    4.18   1.18
T116  STCM R,i,m (0010)      : 99    12.7    19.9    12.60  0.33%    5.81   1.65
T117  STCM R,i,m (1100)      : 99    13.8    22.3    13.69  0.42%    6.32   1.79
T118  STCM R,i,m (0111)      : 99    10.1    11.0    10.06  0.29%    4.64   1.32
T120  STM 2,3,m (2r)         : 99    11.4    25.7    11.26  0.46%    5.20   1.47
T121  STM 2,7,m (6r)         : 99    14.8    15.2    14.77  0.53%    6.81   1.93
T122  STM 14,12,m (15r)      : 99    20.3    28.4    20.21  0.35%    9.32   2.64
T123  LM 2,3,m (2r)          : 99    11.7    19.3    11.57  0.27%    5.34   1.51
T124  LM 2,7,m (6r)          : 99    15.6    42.5    15.63  0.46%    7.21   2.04
T125  LM 0,11,m (12r)        : 99    20.9    28.9    20.82  0.27%    9.61   2.72
T150  MVC m,m (5c)           : 99    18.0    18.9    18.08  0.64%    8.34   2.37
T151  MVC m,m (10c)          : 99    20.6    51.8    20.55  0.64%    9.48   2.69
T152  MVC m,m (15c)          : 99    19.6    23.8    19.61  0.32%    9.05   2.56
T153  MVC m,m (30c)          : 99    20.3    32.0    20.23  0.37%    9.33   2.65
T154  MVC m,m (100c)         : 99    23.6    39.3    23.64  0.44%   10.91   3.09
T155  MVC m,m (250c)         : 99    32.2    36.0    32.11  0.69%   14.81   4.20
T156  MVC m,m (250c,over1)   : 99   359.1   798.0   360.03  0.31%  166.12  47.09
T157  MVC m,m (250c,over2)   : 99    32.2    56.9    31.96  0.50%   14.75   4.18
T160  MVI m,i                : 99     8.2    12.2     8.10  0.31%    3.74   1.06
T161  MVN m,m (10c)          : 99    20.4    31.1    20.51  0.78%    9.47   2.68
T162  MVN m,m (30c)          : 99    34.6    71.4    34.70  0.73%   16.01   4.54
T165  MVZ m,m (10c)          : 99    20.5    38.8    20.50  0.64%    9.46   2.68
T166  MVZ m,m (30c)          : 99    34.7    83.0    34.70  0.48%   16.01   4.54
T167  MVCIN m,m (10c)        : 99    75.2   154.0    75.27  0.32%   34.73   9.85
T168  MVCIN m,m (30c)        : 99   209.0   619.0   209.43  0.44%   96.63  27.39
T169  MVCIN m,m (100c)       : 99   683.4  1638.9   685.85  0.40%  316.45  89.70
T170  4*Lx;MVCL (10b)        : 99    36.2    99.2    36.54  1.45%   16.86   4.78
T171  4*Lx;MVCL (100b)       : 99    42.3    57.4    42.61  1.79%   19.66   5.57
T172  4*Lx;MVCL (250b)       : 99    51.6    94.7    51.99  1.05%   23.99   6.80
T173  4*Lx;MVCL (1kb)        : 99   109.4   298.0   109.22  0.36%   50.39  14.28
T174  4*LR;MVCL (4kb)        : 99   341.0   352.0   341.74  0.35%  157.68  44.70
T175  4*Lx;MVCL (100b,pad)   : 99    30.9    31.7    30.40  0.31%   14.03   3.98
T176  4*Lx;MVCL (1kb,pad)    : 99    46.6    49.2    46.35  0.63%   21.38   6.06
T177  4*Lx;MVCL (4kb,pad)    : 99   108.3   171.9   108.58  0.45%   50.10  14.20
T178  4*LA;MVCL (1kb,over1)  : 99    23.0    34.6    22.40  0.35%   10.33   2.93
T179  4*LA;MVCL (1kb,over2)  : 99   117.1   171.1   117.50  0.35%   54.21  15.37
T190  IC R,m                 : 99     9.2    19.2     9.20  0.29%    4.24   1.20
T191  ICM R,i,m (0010)       : 99    16.3    28.3    16.28  0.34%    7.51   2.13
T192  ICM R,i,m (1100)       : 99    16.9    18.4    16.87  0.36%    7.78   2.21
T193  ICM R,i,m (0111)       : 99    12.9    20.5    12.86  0.29%    5.94   1.68
T200  AR R,R                 : 99     3.5     3.6     3.48  0.28%    1.60   0.45
T201  A R,m                  : 99     9.7    10.1     9.55  0.32%    4.41   1.25
T202  AH R,m                 : 99    10.3    10.6    10.25  0.53%    4.73   1.34
T203  ALR R,R                : 99     2.9     3.0     2.88  0.30%    1.33   0.38
T204  AL R,m                 : 99    10.7    20.2    10.64  0.26%    4.91   1.39
T205  SR R,R                 : 99     4.0     8.4     3.95  0.66%    1.82   0.52
T206  S R,m                  : 99    10.2    13.6    10.13  0.31%    4.68   1.33
T207  SH R,m                 : 99    10.9    13.9    10.83  0.26%    5.00   1.42
T208  SLR R,R                : 99     3.0     5.8     2.94  0.32%    1.36   0.38
T209  SL R,m                 : 99    10.9    17.2    10.85  0.30%    5.01   1.42
T210  MR R,R                 : 99     5.9     6.7     5.75  3.34%    2.66   0.75
T211  M R,m                  : 99    10.5    14.1    10.20  0.52%    4.71   1.33
T212  MH R,m                 : 99    10.6    18.1    10.27  0.27%    4.74   1.34
T215  XR R,R; DR R,R         : 99    18.8    34.9    18.38  0.36%    8.48   2.40
T216  XR R,R; D R,m          : 99    24.4    25.3    24.03  0.26%   11.09   3.14
T220  SLA R,1                : 99     7.0     8.2     6.64  0.37%    3.07   0.87
T221  SLDA R,1               : 99     7.7    10.1     7.49  0.29%    3.45   0.98
T222  SRA R,1                : 99     5.5     9.7     5.24  0.35%    2.42   0.69
T223  SRDA R,1               : 99     6.6    13.2     6.41  0.44%    2.96   0.84
T224  SRA R,30               : 99     5.5     9.7     5.25  0.35%    2.42   0.69
T225  SRDA R,60              : 99     6.6     6.8     6.41  0.30%    2.96   0.84
T230  XR R,R                 : 99     3.3     6.9     3.27  0.25%    1.51   0.43
T231  X R,m                  : 99     9.7    18.4     9.62  0.44%    4.44   1.26
T232  XI m,i                 : 99    10.1    22.0    10.00  0.21%    4.61   1.31
T235  XC m,m (10c)           : 99    22.8    24.2    22.88  0.58%   10.56   2.99
T236  XC m,m (100c)          : 99   103.5   158.0   103.88  0.39%   47.93  13.59
T237  XC m,m (250c)          : 99   229.9   450.0   230.39  0.28%  106.30  30.13
T238  NR R,R                 : 99     3.7    10.8     3.66  0.44%    1.69   0.48
T239  OR R,R                 : 99     3.7     4.9     3.61  0.54%    1.67   0.47
T240  SLL R,1                : 99     4.7    14.5     4.45  2.28%    2.05   0.58
T241  SLDL R,1               : 99     6.1    14.7     5.91  0.42%    2.73   0.77
T242  SRL R,1                : 99     4.8     7.5     4.60  0.36%    2.12   0.60
T243  SRDL R,1               : 99     6.1     8.2     5.91  0.53%    2.73   0.77
T244  SLL R,30               : 99     4.7     6.4     4.47  2.13%    2.06   0.58
T245  SLDL R,60              : 99     6.1    12.7     5.91  0.50%    2.73   0.77
T250  TM m,i                 : 99     9.1    24.6     9.04  0.57%    4.17   1.18
T252  TR m,m (10c)           : 99    16.9    32.4    16.88  0.34%    7.79   2.21
T253  TR m,m (100c)          : 99    71.7    82.3    71.54  0.37%   33.01   9.36
T254  TR m,m (250c)          : 99   155.2   171.0   155.49  0.46%   71.74  20.34
T255  TRT m,m (10c,zero)     : 99    86.2   211.3    86.54  0.40%   39.93  11.32
T256  TRT m,m (100c,zero)    : 99   800.9   860.5   803.39  0.35%  370.68 105.08
T257  TRT m,m (250c,zero)    : 99  1983.7  3078.3  1991.56  0.42%  918.90 260.48
T258  TRT m,m (250c,10b)     : 99    96.0   101.8    95.95  0.32%   44.27  12.55
T259  TRT m,m (250c,100b)    : 99   816.8   846.4   819.47  0.33%  378.10 107.18
T260  CR R,R                 : 99     2.7     2.8     2.64  0.52%    1.22   0.34
T261  C R,m                  : 99     9.0    20.6     8.92  0.37%    4.11   1.17
T262  CH R,m                 : 99     9.4    22.4     9.36  0.33%    4.32   1.22
T263  CLR R,R                : 99     2.6     2.9     2.57  0.32%    1.19   0.34
T264  CL R,m                 : 99     8.0    11.6     7.93  0.33%    3.66   1.04
T265  CLI m,i                : 99    10.1    13.3    10.02  0.27%    4.62   1.31
T266  CLM R,i,m              : 99    12.7    38.8    12.60  0.41%    5.81   1.65
T270  CLC m,m (10c,eq)       : 99    35.3    77.7    35.06  0.28%   16.18   4.59
T271  CLC m,m (10c,ne)       : 99    30.2    65.5    30.78  0.37%   14.20   4.03
T272  CLC m,m (30c,eq)       : 99    46.7    48.4    46.49  0.29%   21.45   6.08
T273  CLC m,m (30c,ne)       : 99    30.9    59.7    30.79  0.28%   14.21   4.03
T274  CLC m,m (100c,eq)      : 99    86.0   104.6    85.90  0.44%   39.63  11.23
T275  CLC m,m (100c,ne)      : 99    30.6    32.1    30.79  0.30%   14.21   4.03
T276  CLC m,m (250c,eq)      : 99   165.5   173.3   170.09  0.39%   78.48  22.25
T277  CLC m,m (250c,ne)      : 99    30.3    36.5    30.80  0.22%   14.21   4.03
T280  4*LR;CLCL (100b,10b)   : 99   107.3   174.9   110.02  0.52%   50.76  14.39
T281  4*LR;CLCL (4kb,10b)    : 99   109.8   225.9   112.48  0.41%   51.90  14.71
T282  4*LR;CLCL (4kb,100b)   : 99   874.9   913.1   900.94  0.41%  415.69 117.84
T283  4*LR;CLCL (4kb,250b)   : 99  2135.7  2274.1  2200.64  0.34% 1015.36 287.83
T290  LR;CS R,R,m (eq,eq)    : 99    39.0    51.8    39.85  0.34%   18.39   5.21
T291  LR;CS R,R,m (eq,ne)    : 99    39.1   100.1    39.94  0.31%   18.43   5.22
T292  LR;CS R,R,m (ne)       : 99   177.1   329.1   182.37  0.37%   84.14  23.85
T295  LR;CDS R,R,m (eq,eq)   : 99    41.6    44.1    42.42  0.25%   19.57   5.55
T296  LR;CDS R,R,m (eq,ne)   : 99    41.6    43.7    42.45  0.26%   19.59   5.55
T297  LR;CDS R,R,m (ne)      : 99   179.8   266.6   184.80  0.31%   85.26  24.17
T300  BCR 0,0 (noop)         : 99     2.5     3.9     2.55  0.23%    1.18   0.33
T301  BNZ l (no br)          : 99     2.2     2.3     2.17  0.36%    1.00   0.28
T302  BNZ l (do br)          : 99     7.2     7.6     7.33  0.13%    3.38   0.96
T303  BNZ l (do br, far)     : 99    12.9    39.4    13.23  0.64%    6.10   1.73
T304  BR R                   : 99     7.4    10.6     6.87  0.23%    3.17   0.90
T305  BR R (far)             : 99    11.3    25.9    10.96  0.77%    5.06   1.43
T310  BCTR R,0               : 99     3.6     7.5     3.63  0.38%    1.67   0.47
T311  BCTR R,R               : 99     7.1    12.7     7.27  0.19%    3.35   0.95
T312  BCT R,l                : 99     8.4     9.6     8.61  0.15%    3.97   1.13
T315  BXLE R,R,l             : 99     8.7     9.1     8.77  0.26%    4.05   1.15
T320  BALR R,R; BR R         : 99    13.4    20.9    13.61  0.27%    6.28   1.78
T321  BALR R,R; BR R (far)   : 99    39.3    62.1    40.65  0.52%   18.76   5.32
T322  BAL R,l; BR R          : 99    15.1    16.0    15.50  0.59%    7.15   2.03
T323  BAL R,l; BR R (far)    : 99    26.9    28.5    27.56  0.59%   12.72   3.60
T324  BASR R,R; BR R         : 99    13.5    14.2    13.80  0.18%    6.37   1.80
T325  BAS R,l; BR R          : 99    15.3    16.1    15.63  0.20%    7.21   2.04
T330  L;BALR;SAV(14,12);RET  : 99   106.4   128.4   109.77  2.19%   50.65  14.36
T400  CVB R,m                : 99    38.7    44.3    39.85  0.94%   18.39   5.21
T401  CVD R,m                : 99    36.1    67.8    37.01  0.27%   17.07   4.84
T402  PACK m,m (5d)          : 99    38.7    77.5    39.58  0.67%   18.26   5.18
T403  PACK m,m (15d)         : 99    96.0   255.9    98.64  0.63%   45.51  12.90
T404  UNPK m,m (5d)          : 99    42.9   107.8    43.94  1.41%   20.28   5.75
T405  UNPK m,m (15d)         : 99   102.5   108.9   105.30  2.57%   48.58  13.77
T410  MVC;ED (10c)           : 99   149.0   160.0   153.59  2.77%   70.87  20.09
T411  MVC;ED (30c)           : 99   406.4   439.0   418.77  2.49%  193.22  54.77
T415  MVC;EDMK (10c)         : 99   152.4   184.0   156.14  2.67%   72.04  20.42
T420  AP m,m (10d)           : 99   221.8   233.5   227.63  2.88%  105.03  29.77
T421  AP m,m (30d)           : 99   217.4   231.3   222.98  2.74%  102.88  29.16
T422  SP m,m (10d)           : 99   226.5   237.1   233.41  2.71%  107.70  30.53
T423  SP m,m (30d)           : 99   233.7   283.3   239.98  2.78%  110.73  31.39
T424  MP m,m (10d)           : 99   277.2   291.7   284.06  2.59%  131.06  37.15
T425  MP m,m (30d)           : 99   277.5   304.9   284.76  2.92%  131.39  37.24
T426  MVC;DP m,m (10d)       : 99   461.2   482.4   474.07  2.83%  218.74  62.01
T427  MVC;DP m,m (30d)       : 99  1049.1  1759.1  1078.57  2.84%  497.65 141.07
T430  CP m,m (10d)           : 99   157.4   257.9   161.67  2.91%   74.60  21.15
T431  CP m,m (30d)           : 99   157.4   178.8   161.52  2.57%   74.53  21.13
T440  ZAP m,m (10d,10d)      : 99   100.2   233.6   102.77  2.74%   47.42  13.44
T441  ZAP m,m (30d,30d)      : 99   100.1   109.9   102.76  2.93%   47.41  13.44
T442  ZAP m,m (10d,30d)      : 99   100.4   181.2   103.02  2.91%   47.53  13.47
T443  ZAP m,m (30d,10d)      : 99   100.0   148.7   102.62  2.91%   47.35  13.42
T445  SRP m,i,i (30d,<<)     : 99   126.5   132.1   128.83  2.87%   59.44  16.85
T446  SRP m,i,i (30d,>>)     : 99   187.4   197.6   188.68  2.92%   87.06  24.68
T450  MVO m,m (10d)          : 99    49.9   123.5    51.04  2.91%   23.55   6.68
T451  MVO m,m (30d)          : 99   128.4   239.4   129.69  2.90%   59.84  16.96
T500  LER R,R                : 99     5.5     5.8     5.54  2.72%    2.56   0.72
T501  LE R,m                 : 99     9.3     9.9     9.31  2.89%    4.30   1.22
T502  LE R,m (unal)          : 99     9.7    22.9     9.74  2.95%    4.50   1.27
T503  LTER R,R               : 99     5.0     8.0     5.03  2.80%    2.32   0.66
T504  LCER R,R               : 99     4.9    10.3     4.86  2.80%    2.24   0.64
T505  LNER R,R               : 99     5.1     7.9     5.12  2.84%    2.36   0.67
T506  LPER R,R               : 99     5.7    10.9     5.69  2.99%    2.62   0.74
T507  LRER R,R               : 99     6.2    11.1     6.21  2.81%    2.86   0.81
T508  STE R,m                : 99     9.2    10.0     9.12  2.90%    4.21   1.19
T509  STE R,m (unal)         : 99     9.8    26.6     9.74  2.90%    4.49   1.27
T510  AER R,R                : 99    14.6    18.7    14.57  2.83%    6.72   1.91
T511  AE R,m                 : 99    19.6    25.1    19.56  2.88%    9.02   2.56
T512  SER R,R                : 99    14.6    21.1    14.62  2.72%    6.74   1.91
T513  SE R,m                 : 99    20.0    35.8    19.92  2.92%    9.19   2.61
T514  MER R,R                : 99    10.3    18.6    10.04  2.81%    4.63   1.31
T515  ME R,m                 : 99    15.3    44.9    15.03  2.88%    6.94   1.97
T516  DER R,R                : 99    20.5    31.6    20.39  3.05%    9.41   2.67
T517  DE R,m                 : 99    25.0    30.2    24.98  2.80%   11.52   3.27
T520  CER R,R                : 99    11.0    28.0    10.96  2.86%    5.06   1.43
T521  CE R,m                 : 99    16.8    31.7    16.72  2.85%    7.71   2.19
T522  AUR R,R                : 99    10.2    16.7     9.98  2.90%    4.60   1.31
T523  HER R,R                : 99     6.5    10.1     6.26  2.72%    2.89   0.82
T530  LDR R,R                : 99     5.7     6.4     5.70  2.79%    2.63   0.75
T531  LD R,m                 : 99    10.0    11.5     9.96  2.81%    4.60   1.30
T532  LD R,m (unal)          : 99     9.9    12.2     9.84  2.73%    4.54   1.29
T533  LTDR R,R               : 99     5.2    11.6     5.15  2.92%    2.38   0.67
T534  LCDR R,R               : 99     5.2     7.9     5.19  2.82%    2.39   0.68
T535  LNDR R,R               : 99     5.5     7.7     5.43  2.83%    2.50   0.71
T536  LPDR R,R               : 99     5.3     8.0     5.30  2.85%    2.44   0.69
T537  LRDR R,R               : 99     7.3    13.5     7.36  2.76%    3.40   0.96
T538  STD R,m                : 99     9.9    24.1     9.79  2.82%    4.52   1.28
T539  STD R,m (unal)         : 99     9.9    16.6     9.80  2.81%    4.52   1.28
T540  ADR R,R                : 99    15.5    16.5    15.41  2.76%    7.11   2.02
T541  AD R,m                 : 99    20.6    21.6    20.67  2.79%    9.54   2.70
T542  SDR R,R                : 99    15.5    40.0    15.46  2.79%    7.13   2.02
T543  SD R,m                 : 99    20.9    22.6    20.84  2.72%    9.61   2.73
T544  MDR R,R                : 99    16.6    19.9    16.30  2.77%    7.52   2.13
T545  MD R,m                 : 99    22.5    49.1    22.29  2.49%   10.28   2.92
