s370_perf_sum  -rat  -i   -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-03-04_sys2.dat                        303   0.78%     3.8%
      03: 2018-01-13_sys2-b.dat                      233   0.81%     3.2%

Tag   Comment                :     tpi01     tpi02     tpi03 :  t02/t01  t03/t01
T155  MVC m,m (250c)         :     31.20     31.17     31.25 :    0.999    1.002
T156  MVC m,m (250c,over1)   :    351.62    350.80    350.52 :    0.998    0.997
T157  MVC m,m (250c,over2)   :     31.22     31.13     31.21 :    0.997    1.000
T160  MVI m,i                :      7.91      7.90      7.95 :    0.999    1.005
T161  MVN m,m (10c)          :     20.06     20.35     20.05 :    1.014    1.000
T162  MVN m,m (30c)          :     33.78     33.95     33.80 :    1.005    1.001
T165  MVZ m,m (10c)          :     20.02     20.30     20.01 :    1.014    1.000
T166  MVZ m,m (30c)          :     33.75     34.03     33.76 :    1.008    1.000
T167  MVCIN m,m (10c)        :     73.19     73.58     73.13 :    1.005    0.999
T168  MVCIN m,m (30c)        :    204.04    204.21    204.12 :    1.001    1.000
T169  MVCIN m,m (100c)       :    667.17    667.09    666.58 :    1.000    0.999
T190  IC R,m                 :      8.98      8.99      8.99 :    1.001    1.001
T191  ICM R,i,m (0010)       :     15.87     15.90     15.92 :    1.002    1.003
T192  ICM R,i,m (1100)       :     16.48     16.45     16.43 :    0.998    0.997
T193  ICM R,i,m (0111)       :     12.57     12.52     12.61 :    0.996    1.003
T200  AR R,R                 :      3.40      3.41      3.42 :    1.003    1.006
T201  A R,m                  :      9.33      9.28      9.37 :    0.995    1.004
T202  AH R,m                 :     10.03      9.98     10.01 :    0.995    0.998
T203  ALR R,R                :      2.81      2.82      2.81 :    1.004    1.000
T204  AL R,m                 :     10.39     10.35     10.42 :    0.996    1.003
T210  MR R,R                 :      5.75      5.76      5.60 :    1.002    0.974
T211  M R,m                  :      9.94     10.04      9.91 :    1.010    0.997
T212  MH R,m                 :     10.02     10.08     10.07 :    1.006    1.005
T220  SLA R,1                :      6.47      6.48      6.47 :    1.002    1.000
T221  SLDA R,1               :      7.43      7.30      7.30 :    0.983    0.983
T222  SRA R,1                :      5.14      5.13      5.12 :    0.998    0.996
T223  SRDA R,1               :      6.26      6.25      6.22 :    0.998    0.994
T224  SRA R,30               :      5.13      5.13      5.14 :    1.000    1.002
T225  SRDA R,60              :      6.26      6.25      6.26 :    0.998    1.000
T230  XR R,R                 :      3.20      3.19      3.19 :    0.997    0.997
T231  X R,m                  :      9.39      9.40      9.46 :    1.001    1.007
T232  XI m,i                 :      9.77      9.76      9.79 :    0.999    1.002
T235  XC m,m (10c)           :     22.35     22.50     22.30 :    1.007    0.998
T236  XC m,m (100c)          :    101.14    101.66    101.47 :    1.005    1.003
T237  XC m,m (250c)          :    225.18    224.75    224.77 :    0.998    0.998
T238  NR R,R                 :      3.56      3.57      3.57 :    1.003    1.003
T239  OR R,R                 :      3.55      3.54      3.55 :    0.997    1.000
T240  SLL R,1                :      4.31      4.32      4.34 :    1.002    1.007
T241  SLDL R,1               :      5.78      5.75      5.79 :    0.995    1.002
T242  SRL R,1                :      4.47      4.50      4.49 :    1.007    1.004
T243  SRDL R,1               :      5.78      5.76      5.78 :    0.997    1.000
T244  SLL R,30               :      4.32      4.32      4.34 :    1.000    1.005
T245  SLDL R,60              :      5.77      5.80      5.77 :    1.005    1.000
T250  TM m,i                 :      8.82      8.91      8.88 :    1.010    1.007
T252  TR m,m (10c)           :     16.44     29.28     27.85 :    1.781    1.694
T253  TR m,m (100c)          :     69.62    159.05    150.94 :    2.285    2.168
T254  TR m,m (250c)          :    151.23    361.12    347.36 :    2.388    2.297
T255  TRT m,m (10c,zero)     :     84.11     84.18     84.64 :    1.001    1.006
T256  TRT m,m (100c,zero)    :    782.46    783.17    785.36 :    1.001    1.004
T257  TRT m,m (250c,zero)    :   1936.51   1941.44   1948.82 :    1.003    1.006
T258  TRT m,m (250c,10b)     :     93.44     93.63     93.91 :    1.002    1.005
T259  TRT m,m (250c,100b)    :    799.32    798.87    800.63 :    0.999    1.002
T260  CR R,R                 :      2.56      2.57      2.56 :    1.004    1.000
T261  C R,m                  :      8.70      8.72      8.72 :    1.002    1.002
T262  CH R,m                 :      9.15      9.17      9.14 :    1.002    0.999
T263  CLR R,R                :      2.51      2.51      2.51 :    1.000    1.000
T264  CL R,m                 :      7.74      7.77      7.75 :    1.004    1.001
T265  CLI m,i                :      9.79      9.83      9.83 :    1.004    1.004
T266  CLM R,i,m              :     12.30     12.32     12.30 :    1.002    1.000
T270  CLC m,m (10c,eq)       :     34.19     34.24     34.38 :    1.001    1.006
T271  CLC m,m (10c,ne)       :     29.99     29.98     30.22 :    1.000    1.008
T272  CLC m,m (30c,eq)       :     45.29     45.79     45.32 :    1.011    1.001
T273  CLC m,m (30c,ne)       :     30.05     29.98     30.21 :    0.998    1.005
T274  CLC m,m (100c,eq)      :     83.62     84.71     83.89 :    1.013    1.003
T275  CLC m,m (100c,ne)      :     30.00     30.07     30.30 :    1.002    1.010
T276  CLC m,m (250c,eq)      :    165.90    168.35    165.70 :    1.015    0.999
T277  CLC m,m (250c,ne)      :     30.00     29.99     30.22 :    1.000    1.007
T300  BCR 0,0 (noop)         :      2.49      2.50      2.49 :    1.004    1.000
T301  BNZ l (no br)          :      2.11      2.11      2.12 :    1.000    1.005
T302  BNZ l (do br)          :      7.16      7.19      7.21 :    1.004    1.007
T303  BNZ l (do br, far)     :     12.88     12.90     12.91 :    1.002    1.002
T310  BCTR R,0               :      3.55      3.55      3.55 :    1.000    1.000
T311  BCTR R,R               :      7.11      7.08      7.09 :    0.996    0.997
T312  BCT R,l                :      8.41      8.42      8.39 :    1.001    0.998
T315  BXLE R,R,l             :      8.58      8.57      8.56 :    0.999    0.998
T400  CVB R,m                :     38.90     38.87     38.90 :    0.999    1.000
T401  CVD R,m                :     36.04     36.09     36.04 :    1.001    1.000
T402  PACK m,m (5d)          :     38.52     38.47     38.53 :    0.999    1.000
T403  PACK m,m (15d)         :     96.11     96.28     96.27 :    1.002    1.002
T404  UNPK m,m (5d)          :     42.84     43.00     42.86 :    1.004    1.000
T405  UNPK m,m (15d)         :    102.57    102.61    102.53 :    1.000    1.000
T420  AP m,m (10d)           :    221.84    223.21    223.35 :    1.006    1.007
T421  AP m,m (30d)           :    217.21    217.54    217.37 :    1.002    1.001
T424  MP m,m (10d)           :    277.65    283.70    279.17 :    1.022    1.005
T425  MP m,m (30d)           :    277.56    278.56    278.44 :    1.004    1.003
T430  CP m,m (10d)           :    157.86    158.84    158.45 :    1.006    1.004
T431  CP m,m (30d)           :    158.00    158.48    158.28 :    1.003    1.002
T440  ZAP m,m (10d,10d)      :    100.57    100.39    101.00 :    0.998    1.004
T441  ZAP m,m (30d,30d)      :    100.61    100.46    100.63 :    0.999    1.000
T442  ZAP m,m (10d,30d)      :    100.87    100.83    100.57 :    1.000    0.997
T443  ZAP m,m (30d,10d)      :    100.39    100.25    104.03 :    0.999    1.036
T445  SRP m,i,i (30d,<<)     :    126.09    127.09    127.24 :    1.008    1.009
T446  SRP m,i,i (30d,>>)     :    187.37    190.59    188.77 :    1.017    1.007
T450  MVO m,m (10d)          :     49.91     50.67     50.09 :    1.015    1.004
T451  MVO m,m (30d)          :    129.11    129.16    127.85 :    1.000    0.990
T500  LER R,R                :      5.54      5.50      5.49 :    0.993    0.991
T501  LE R,m                 :      9.22      9.31      9.26 :    1.010    1.004
T502  LE R,m (unal)          :      9.57      9.60      9.53 :    1.003    0.996
T503  LTER R,R               :      5.01      5.01      5.00 :    1.000    0.998
T504  LCER R,R               :      4.84      4.86      4.86 :    1.004    1.004
T505  LNER R,R               :      5.11      5.11      5.12 :    1.000    1.002
T506  LPER R,R               :      5.68      5.68      5.67 :    1.000    0.998
T507  LRER R,R               :      6.17      6.19      6.18 :    1.003    1.002
T508  STE R,m                :      9.14      9.15      9.17 :    1.001    1.003
T509  STE R,m (unal)         :      9.71      9.75      9.69 :    1.004    0.998
T510  AER R,R                :     14.56     12.96     13.02 :    0.890    0.894
T511  AE R,m                 :     19.59     18.11     18.10 :    0.924    0.924
T514  MER R,R                :     10.06     10.03     10.06 :    0.997    1.000
T515  ME R,m                 :     15.06     15.07     15.04 :    1.001    0.999
T516  DER R,R                :     20.30     20.23     20.31 :    0.997    1.000
T517  DE R,m                 :     24.95     25.08     25.07 :    1.005    1.005
T520  CER R,R                :     10.98     10.96     10.97 :    0.998    0.999
T521  CE R,m                 :     16.78     16.75     16.73 :    0.998    0.997
T522  AUR R,R                :     10.01     14.42     14.38 :    1.441    1.437
T523  HER R,R                :      6.27      6.27      6.28 :    1.000    1.002
T530  LDR R,R                :      5.70      5.69      5.75 :    0.998    1.009
T531  LD R,m                 :      9.99      9.98      9.99 :    0.999    1.000
T532  LD R,m (unal)          :      9.87      9.92      9.89 :    1.005    1.002
T533  LTDR R,R               :      5.18      5.19      5.18 :    1.002    1.000
T534  LCDR R,R               :      5.20      5.19      5.19 :    0.998    0.998
T535  LNDR R,R               :      5.45      5.46      5.45 :    1.002    1.000
T536  LPDR R,R               :      5.32      5.30      5.33 :    0.996    1.002
T537  LRDR R,R               :      7.38      7.39      7.36 :    1.001    0.997
T538  STD R,m                :      9.84      9.85      9.96 :    1.001    1.012
T539  STD R,m (unal)         :      9.83      9.83      9.82 :    1.000    0.999
T540  ADR R,R                :     15.43     14.19     14.25 :    0.920    0.924
T541  AD R,m                 :     20.65     19.05     19.03 :    0.923    0.922
T544  MDR R,R                :     16.37     16.51     16.36 :    1.009    0.999
T545  MD R,m                 :     22.32     22.31     22.37 :    1.000    1.002
T546  DDR R,R                :    152.40    152.32    152.81 :    0.999    1.003
T547  DD R,m                 :    156.37    157.09    156.46 :    1.005    1.001
T550  CDR R,R                :     11.94     11.90     11.90 :    0.997    0.997
T551  CD R,m                 :     18.15     18.20     18.17 :    1.003    1.001
T552  AWR R,R                :     12.15     12.13     12.15 :    0.998    1.000
T553  HDR R,R                :      7.56      7.55      7.54 :    0.999    0.997
T560  AXR R,R                :     25.66     23.16     23.10 :    0.903    0.900
T561  MXR R,R                :     29.68     29.62     29.78 :    0.998    1.003
T600  STCK m                 :     65.48     97.36    102.95 :    1.487    1.572
T601  SPM R                  :      2.79      2.62      2.59 :    0.939    0.928
T610  EX R,i (with TM)       :     30.57     30.65     30.67 :    1.003    1.003
T611  EX R,i (with XI)       :     30.62     30.69     30.62 :    1.002    1.000
D170  MVCL (10b)             :     24.92     24.95     24.94 :    1.001    1.001
D171  MVCL (100b)            :     31.79     32.11     31.86 :    1.010    1.002
D172  MVCL (250b)            :     40.94     41.03     41.07 :    1.002    1.003
D173  MVCL (1kb)             :     96.68     96.91     96.99 :    1.002    1.003
D174  MVCL (4kb)             :    325.75    324.82    326.83 :    0.997    1.003
D175  MVCL (100b,pad)        :     19.89     19.76     19.91 :    0.993    1.001
D176  MVCL (1kb,pad)         :     36.18     35.73     35.66 :    0.988    0.986
D177  MVCL (4kb,pad)         :     97.64     96.59     97.22 :    0.989    0.996
D178  MVCL (1kb,over1)       :     10.77     10.83     10.71 :    1.006    0.994
D179  MVCL (1kb,over2)       :    103.63    103.57    103.39 :    0.999    0.998
D215  DR R,R                 :     14.72     14.77     14.73 :    1.003    1.001
D216  D R,m                  :     20.20     20.28     20.27 :    1.004    1.003
D280  CLCL (100b,10b)        :     98.28     98.51     98.67 :    1.002    1.004
D281  CLCL (4kb,10b)         :    100.88    101.41    101.14 :    1.005    1.003
D282  CLCL (4kb,100b)        :    870.45    868.77    871.60 :    0.998    1.001
D283  CLCL (4kb,250b)        :   2134.36   2134.19   2139.81 :    1.000    1.003
D290  CS R,R,m (eq,eq)       :     36.80     36.72     37.27 :    0.998    1.013
D291  CS R,R,m (eq,ne)       :     36.84     36.89     37.04 :    1.001    1.005
D292  CS R,R,m (ne)          :    174.66    176.86    176.91 :    1.013    1.013
D295  CDS R,R,m (eq,eq)      :     39.36     39.36     39.46 :    1.000    1.003
D296  CDS R,R,m (eq,ne)      :     39.40     39.40     39.29 :    1.000    0.997
D297  CDS R,R,m (ne)         :    176.49    179.75    178.93 :    1.018    1.014
D410  ED (10c)               :    129.41    130.91    129.90 :    1.012    1.004
D415  EDMK (10c)             :    132.04    132.81    132.73 :    1.006    1.005
D610  EX R,i (bare, via TM)  :     21.75     21.74     21.79 :    1.000    1.002
D611  EX R,i (bare, via XI)  :     20.85     20.93     20.82 :    1.004    0.999
D620  TS m (zero)            :     34.56     34.70     34.71 :    1.004    1.004
D621  TS m (ones)            :    174.69    177.77    177.09 :    1.018    1.014
