s370_perf_sum  -nrr  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 1964-05-01_s360-70.dat                     169   0.00%     0.0%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
T207  SH R,m                 :      3.06      2.80 :    0.915
T265  CLI m,i                :      3.06      2.80 :    0.915
T112  STH R,m                :      3.84      3.65 :    0.951
T212  MH R,m                 :      8.10      8.00 :    0.988
T210  MR R,R                 :      7.01      7.00 :    0.999
T100  LR R,R                 :      1.00      1.00 :    1.000
T106  LTR R,R                :      1.00      1.00 :    1.000
T107  LCR R,R                :      1.00      1.00 :    1.000
T200  AR R,R                 :      1.00      1.00 :    1.000
T203  ALR R,R                :      1.00      1.00 :    1.000
T205  SR R,R                 :      1.00      1.00 :    1.000
T208  SLR R,R                :      1.00      1.00 :    1.000
T260  CR R,R                 :      1.00      1.00 :    1.000
T263  CLR R,R                :      1.00      1.00 :    1.000
T508  STE R,m                :      3.15      3.15 :    1.000
T601  SPM R                  :      2.00      2.00 :    1.000
T161  MVN m,m (10c)          :     18.72     19.00 :    1.015
T165  MVZ m,m (10c)          :     18.72     19.00 :    1.015
T110  ST R,m                 :      2.83      3.15 :    1.113
T162  MVN m,m (30c)          :     34.91     39.00 :    1.117
T166  MVZ m,m (30c)          :     34.91     39.00 :    1.117
T120  STM 2,3,m (2r)         :      4.14      4.65 :    1.123
T123  LM 2,3,m (2r)          :      4.08      4.80 :    1.176
T311  BCTR R,R               :      2.00      2.50 :    1.250
T425  MP m,m (30d)           :    104.86    131.70 :    1.256
D216  D R,m                  :     11.06     14.25 :    1.288
T115  STC R,m                :      2.83      3.65 :    1.290
T160  MVI m,i                :      2.80      3.65 :    1.304
T237  XC m,m (250c)          :    197.54    259.00 :    1.311
T253  TR m,m (100c)          :    267.14    360.00 :    1.348
T254  TR m,m (250c)          :    646.31    885.00 :    1.369
T252  TR m,m (10c)           :     32.75     45.00 :    1.374
T257  TRT m,m (250c,zero)    :    642.19    886.50 :    1.380
T259  TRT m,m (250c,100b)    :    263.01    365.00 :    1.388
T256  TRT m,m (100c,zero)    :    258.77    361.50 :    1.397
T258  TRT m,m (250c,10b)     :     35.67     50.00 :    1.402
T235  XC m,m (10c)           :     13.35     19.00 :    1.423
T232  XI m,i                 :      3.86      5.50 :    1.425
T230  XR R,R                 :      1.00      1.50 :    1.500
T238  NR R,R                 :      1.00      1.50 :    1.500
T239  OR R,R                 :      1.00      1.50 :    1.500
T255  TRT m,m (10c,zero)     :     30.58     46.50 :    1.521
D215  DR R,R                 :      9.03     13.75 :    1.523
T236  XC m,m (100c)          :     71.55    109.00 :    1.523
T150  MVC m,m (5c)           :      9.72     15.00 :    1.543
T151  MVC m,m (10c)          :     12.73     20.00 :    1.571
D610  EX R,i (bare, via TM)  :      5.05      8.00 :    1.584
T152  MVC m,m (15c)          :     14.70     25.00 :    1.701
D611  EX R,i (bare, via XI)  :      4.48      8.00 :    1.786
T153  MVC m,m (30c)          :     21.75     40.00 :    1.839
T275  CLC m,m (100c,ne)      :      6.19     11.50 :    1.858
T277  CLC m,m (250c,ne)      :      6.19     11.50 :    1.858
T271  CLC m,m (10c,ne)       :      6.12     11.50 :    1.879
T273  CLC m,m (30c,ne)       :      6.12     11.50 :    1.879
T155  MVC m,m (250c)         :    134.67    260.00 :    1.931
T154  MVC m,m (100c)         :     56.32    110.00 :    1.953
T270  CLC m,m (10c,eq)       :      9.17     20.50 :    2.236
T301  BNZ l (no br)          :      1.02      2.50 :    2.451
T300  BCR 0,0 (noop)         :      1.00      2.50 :    2.500
T310  BCTR R,0               :      1.00      2.50 :    2.500
T101  LA R,n                 :      1.02      2.70 :    2.647
T274  CLC m,m (100c,eq)      :     30.59    110.50 :    3.612
T157  MVC m,m (250c,over2)   :     70.19    260.00 :    3.704
T276  CLC m,m (250c,eq)      :     69.67    260.50 :    3.739
T156  MVC m,m (250c,over1)   :     42.55    260.00 :    6.110
T272  CLC m,m (30c,eq)       :      6.12     40.50 :    6.618
