s370_perf_sum  -nrr  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-03-31_sys2-1cpu.dat                   330   0.21%     7.5%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
T162  MVN m,m (30c)          :     34.91     16.24 :    0.465
T221  SLDA R,1               :      7.52      3.58 :    0.476
T400  CVB R,m                :     39.22     18.73 :    0.478
T544  MDR R,R                :     15.91      7.87 :    0.495
T161  MVN m,m (10c)          :     18.72      9.63 :    0.514
T165  MVZ m,m (10c)          :     18.72      9.63 :    0.514
T515  ME R,m                 :     13.92      7.24 :    0.520
T553  HDR R,R                :      6.94      3.63 :    0.523
T211  M R,m                  :      9.09      4.79 :    0.527
T237  XC m,m (250c)          :    197.54    108.25 :    0.548
T122  STM 14,12,m (15r)      :     17.28      9.50 :    0.550
T539  STD R,m (unal)         :      8.14      4.73 :    0.581
T504  LCER R,R               :      3.97      2.33 :    0.587
T212  MH R,m                 :      8.10      4.83 :    0.596
T545  MD R,m                 :     17.92     10.75 :    0.600
T503  LTER R,R               :      3.97      2.41 :    0.607
D320  BALR R,R               :      5.17      3.17 :    0.613
T505  LNER R,R               :      3.97      2.46 :    0.620
D427  DP m,m (30d)           :    798.63    497.47 :    0.623
T152  MVC m,m (15c)          :     14.70      9.21 :    0.627
T533  LTDR R,R               :      3.97      2.49 :    0.627
T534  LCDR R,R               :      3.97      2.50 :    0.630
T536  LPDR R,R               :      3.97      2.56 :    0.645
T535  LNDR R,R               :      3.97      2.62 :    0.660
T601  SPM R                  :      2.00      1.35 :    0.675
T240  SLL R,1                :      3.04      2.07 :    0.681
T244  SLL R,30               :      3.04      2.07 :    0.681
T236  XC m,m (100c)          :     71.55     48.82 :    0.682
T125  LM 0,11,m (12r)        :     14.25      9.79 :    0.687
T506  LPER R,R               :      3.97      2.73 :    0.688
T242  SRL R,1                :      3.04      2.15 :    0.707
T509  STE R,m (unal)         :      6.58      4.67 :    0.710
T111  ST R,m (unal)          :      5.80      4.15 :    0.716
D290  CS R,R,m (eq,eq)       :      9.21      6.70 :    0.727
D291  CS R,R,m (eq,ne)       :      9.20      6.75 :    0.734
T507  LRER R,R               :      4.01      2.97 :    0.741
T151  MVC m,m (10c)          :     12.73      9.65 :    0.758
D322  BAL R,R                :      5.51      4.18 :    0.759
T220  SLA R,1                :      4.04      3.11 :    0.770
T108  LNR R,R                :      2.00      1.55 :    0.775
T114  STH R,m (unal3)        :      5.80      4.51 :    0.778
T532  LD R,m (unal)          :      6.06      4.75 :    0.784
D215  DR R,R                 :      9.03      7.08 :    0.784
D170  MVCL (10b)             :     15.16     11.98 :    0.790
T312  BCT R,l                :      5.06      4.05 :    0.800
T522  AUR R,R                :      5.98      4.81 :    0.804
D295  CDS R,R,m (eq,eq)      :      9.21      7.42 :    0.806
T235  XC m,m (10c)           :     13.35     10.76 :    0.806
D296  CDS R,R,m (eq,ne)      :      9.15      7.39 :    0.808
T222  SRA R,1                :      3.04      2.46 :    0.809
T224  SRA R,30               :      3.04      2.46 :    0.809
T315  BXLE R,R,l             :      5.02      4.13 :    0.823
T302  BNZ l (do br)          :      4.10      3.45 :    0.841
T121  STM 2,7,m (6r)         :      8.17      6.93 :    0.848
T150  MVC m,m (5c)           :      9.72      8.50 :    0.874
D426  DP m,m (10d)           :    243.62    213.31 :    0.876
D216  D R,m                  :     11.06      9.73 :    0.880
T537  LRDR R,R               :      4.01      3.55 :    0.885
T520  CER R,R                :      5.95      5.28 :    0.887
T124  LM 2,7,m (6r)          :      8.17      7.34 :    0.898
T502  LE R,m (unal)          :      5.10      4.60 :    0.902
D292  CS R,R,m (ne)          :      8.15      7.39 :    0.907
T404  UNPK m,m (5d)          :     22.71     20.68 :    0.911
T109  LPR R,R                :      2.00      1.83 :    0.915
T451  MVO m,m (30d)          :     66.30     62.20 :    0.938
D620  TS m (zero)            :      7.45      7.04 :    0.945
T450  MVO m,m (10d)          :     25.20     24.07 :    0.955
T550  CDR R,R                :      5.94      5.74 :    0.966
T552  AWR R,R                :      6.00      5.83 :    0.972
T405  UNPK m,m (15d)         :     50.89     49.49 :    0.972
T402  PACK m,m (5d)          :     18.65     18.56 :    0.995
T100  LR R,R                 :      1.00      1.00 :    1.000
T301  BNZ l (no br)          :      1.02      1.02 :    1.000
T103  L R,m (unal)           :      4.07      4.15 :    1.020
T403  PACK m,m (15d)         :     45.30     46.38 :    1.024
D297  CDS R,R,m (ne)         :      8.14      8.44 :    1.037
T168  MVCIN m,m (30c)        :     94.84     98.39 :    1.037
T560  AXR R,R                :     11.92     12.37 :    1.038
T169  MVCIN m,m (100c)       :    308.44    322.12 :    1.044
T167  MVCIN m,m (10c)        :     33.50     35.31 :    1.054
T547  DD R,m                 :     70.95     75.55 :    1.065
T546  DDR R,R                :     68.80     73.64 :    1.070
T551  CD R,m                 :      7.95      8.73 :    1.098
T118  STCM R,i,m (0111)      :      4.23      4.73 :    1.118
T538  STD R,m                :      4.22      4.73 :    1.121
T105  LH R,m (unal3)         :      4.07      4.57 :    1.123
T304  BR R                   :      2.85      3.23 :    1.133
T276  CLC m,m (250c,eq)      :     69.67     79.88 :    1.147
T521  CE R,m                 :      6.96      8.06 :    1.158
D621  TS m (ones)            :      7.44      8.70 :    1.169
T102  L R,m                  :      3.06      3.59 :    1.173
T510  AER R,R                :      5.96      7.01 :    1.176
T512  SER R,R                :      5.97      7.04 :    1.179
T531  LD R,m                 :      4.07      4.81 :    1.182
T112  STH R,m                :      3.84      4.56 :    1.188
T193  ICM R,i,m (0111)       :      5.09      6.05 :    1.189
T300  BCR 0,0 (noop)         :      1.00      1.20 :    1.200
T113  STH R,m (unal1)        :      3.76      4.53 :    1.205
T263  CLR R,R                :      1.00      1.21 :    1.210
T232  XI m,i                 :      3.86      4.70 :    1.218
T264  CL R,m                 :      3.06      3.73 :    1.219
T445  SRP m,i,i (30d,<<)     :     49.70     60.72 :    1.222
T260  CR R,R                 :      1.00      1.24 :    1.240
T541  AD R,m                 :      8.00      9.95 :    1.244
T540  ADR R,R                :      5.96      7.42 :    1.245
T542  SDR R,R                :      5.96      7.47 :    1.253
T543  SD R,m                 :      8.00     10.07 :    1.259
T258  TRT m,m (250c,10b)     :     35.67     45.06 :    1.263
T425  MP m,m (30d)           :    104.86    133.54 :    1.274
T120  STM 2,3,m (2r)         :      4.14      5.30 :    1.280
T101  LA R,n                 :      1.02      1.33 :    1.304
T110  ST R,m                 :      2.83      3.71 :    1.311
T441  ZAP m,m (30d,30d)      :     36.79     48.48 :    1.318
T274  CLC m,m (100c,eq)      :     30.59     40.36 :    1.319
T255  TRT m,m (10c,zero)     :     30.58     40.56 :    1.326
T305  BR R (far)             :      3.88      5.15 :    1.327
T424  MP m,m (10d)           :    100.68    133.84 :    1.329
T500  LER R,R                :      1.99      2.65 :    1.332
T123  LM 2,3,m (2r)          :      4.08      5.44 :    1.333
T511  AE R,m                 :      7.06      9.42 :    1.334
T203  ALR R,R                :      1.00      1.35 :    1.350
T442  ZAP m,m (10d,30d)      :     35.73     48.56 :    1.359
T160  MVI m,i                :      2.80      3.81 :    1.361
T513  SE R,m                 :      7.05      9.60 :    1.362
T261  C R,m                  :      3.06      4.19 :    1.369
T530  LDR R,R                :      1.99      2.74 :    1.377
T208  SLR R,R                :      1.00      1.38 :    1.380
T250  TM m,i                 :      3.06      4.25 :    1.389
T508  STE R,m                :      3.15      4.39 :    1.394
T116  STCM R,i,m (0010)      :      4.24      5.93 :    1.399
T190  IC R,m                 :      3.07      4.32 :    1.407
T104  LH R,m                 :      3.06      4.38 :    1.431
T262  CH R,m                 :      3.07      4.40 :    1.433
T443  ZAP m,m (30d,10d)      :     33.72     48.39 :    1.435
T501  LE R,m                 :      3.09      4.44 :    1.437
T257  TRT m,m (250c,zero)    :    642.19    934.73 :    1.456
T266  CLM R,i,m              :      4.06      5.92 :    1.458
T256  TRT m,m (100c,zero)    :    258.77    377.44 :    1.459
T259  TRT m,m (250c,100b)    :    263.01    385.11 :    1.464
T201  A R,m                  :      3.06      4.49 :    1.467
T231  X R,m                  :      3.06      4.52 :    1.477
T115  STC R,m                :      2.83      4.26 :    1.505
T191  ICM R,i,m (0010)       :      5.07      7.65 :    1.509
T303  BNZ l (do br, far)     :      4.09      6.19 :    1.513
T117  STCM R,i,m (1100)      :      4.22      6.44 :    1.526
T230  XR R,R                 :      1.00      1.53 :    1.530
T440  ZAP m,m (10d,10d)      :     31.64     48.50 :    1.533
T265  CLI m,i                :      3.06      4.71 :    1.539
T206  S R,m                  :      3.06      4.76 :    1.556
T192  ICM R,i,m (1100)       :      5.07      7.93 :    1.564
T202  AH R,m                 :      3.06      4.82 :    1.575
T446  SRP m,i,i (30d,>>)     :     56.75     90.31 :    1.591
T204  AL R,m                 :      3.06      5.00 :    1.634
T200  AR R,R                 :      1.00      1.64 :    1.640
T207  SH R,m                 :      3.06      5.09 :    1.663
T209  SL R,m                 :      3.06      5.10 :    1.667
T106  LTR R,R                :      1.00      1.69 :    1.690
T239  OR R,R                 :      1.00      1.71 :    1.710
T310  BCTR R,0               :      1.00      1.71 :    1.710
T311  BCTR R,R               :      2.00      3.42 :    1.710
D323  BAL R,R (far)          :      4.56      7.84 :    1.719
T238  NR R,R                 :      1.00      1.72 :    1.720
T107  LCR R,R                :      1.00      1.76 :    1.760
T611  EX R,i (with XI)       :      8.34     14.79 :    1.773
D281  CLCL (4kb,10b)         :     27.26     48.65 :    1.785
T270  CLC m,m (10c,eq)       :      9.17     16.48 :    1.797
D280  CLCL (100b,10b)        :     26.30     47.37 :    1.801
T610  EX R,i (with TM)       :      8.10     14.74 :    1.820
T205  SR R,R                 :      1.00      1.86 :    1.860
T421  AP m,m (30d)           :     50.65    104.61 :    2.065
D610  EX R,i (bare, via TM)  :      5.05     10.50 :    2.079
T431  CP m,m (30d)           :     35.67     76.26 :    2.138
T423  SP m,m (30d)           :     50.65    112.51 :    2.221
D611  EX R,i (bare, via XI)  :      4.48     10.08 :    2.250
T275  CLC m,m (100c,ne)      :      6.19     14.48 :    2.339
T277  CLC m,m (250c,ne)      :      6.19     14.48 :    2.339
T271  CLC m,m (10c,ne)       :      6.12     14.47 :    2.364
T273  CLC m,m (30c,ne)       :      6.12     14.48 :    2.366
T420  AP m,m (10d)           :     44.06    107.01 :    2.429
T422  SP m,m (10d)           :     42.69    107.20 :    2.511
T430  CP m,m (10d)           :     28.55     76.24 :    2.670
D321  BALR R,R (far)         :      4.28     13.96 :    3.262
T272  CLC m,m (30c,eq)       :      6.12     21.85 :    3.570
T156  MVC m,m (250c,over1)   :     42.55    169.29 :    3.979
T600  STCK m                 :      7.21     33.07 :    4.587
D282  CLCL (4kb,100b)        :     71.08    419.10 :    5.896
D283  CLCL (4kb,250b)        :    149.84   1029.67 :    6.872
