s370_perf_sum  -nrr  -rat

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-01-13_sys2-b.dat                      233   0.81%     3.2%
      02: 2018-01-03_rasp2b.dat                      233   0.56%     9.0%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
T290  LR;CS R,R,m (eq,eq)    :     18.82     18.95 :    1.007
T291  LR;CS R,R,m (eq,ne)    :     18.71     18.94 :    1.012
T292  LR;CS R,R,m (ne)       :     85.58     87.34 :    1.021
T295  LR;CDS R,R,m (eq,eq)   :     19.87     19.91 :    1.002
T296  LR;CDS R,R,m (eq,ne)   :     19.78     19.97 :    1.010
T297  LR;CDS R,R,m (ne)      :     86.55     88.02 :    1.017
T300  BCR 0,0 (noop)         :      1.19      1.16 :    0.975
T301  BNZ l (no br)          :      1.01      1.24 :    1.228
T302  BNZ l (do br)          :      3.45      2.15 :    0.623
T303  BNZ l (do br, far)     :      6.17      8.25 :    1.337
T310  BCTR R,0               :      1.70      1.54 :    0.906
T311  BCTR R,R               :      3.39      1.96 :    0.578
T312  BCT R,l                :      4.01      2.65 :    0.661
T315  BXLE R,R,l             :      4.09      2.61 :    0.638
T320  BALR R,R; BR R         :      6.36      4.22 :    0.664
T321  BALR R,R; BR R (far)   :     19.02     16.78 :    0.882
T322  BAL R,l; BR R          :      7.30      4.98 :    0.682
T323  BAL R,l; BR R (far)    :     12.89     17.60 :    1.365
T324  BASR R,R; BR R         :      6.46      4.02 :    0.622
T325  BAS R,l; BR R          :      7.30      4.51 :    0.618
T330  L;BALR;SAV(14,12);RET  :     58.51     67.95 :    1.161
T400  CVB R,m                :     18.60     23.23 :    1.249
T401  CVD R,m                :     17.23    213.23 :   12.376
T402  PACK m,m (5d)          :     18.42     22.98 :    1.248
T403  PACK m,m (15d)         :     46.03     57.46 :    1.248
T404  UNPK m,m (5d)          :     20.49     24.43 :    1.192
T405  UNPK m,m (15d)         :     49.02     58.43 :    1.192
T410  MVC;ED (10c)           :     71.72     96.19 :    1.341
T411  MVC;ED (30c)           :    195.34    257.71 :    1.319
T415  MVC;EDMK (10c)         :     73.08     98.15 :    1.343
T420  AP m,m (10d)           :    106.78     98.64 :    0.924
T421  AP m,m (30d)           :    103.93    101.00 :    0.972
T424  MP m,m (10d)           :    133.47    111.83 :    0.838
T425  MP m,m (30d)           :    133.13    112.93 :    0.848
T430  CP m,m (10d)           :     75.76     61.90 :    0.817
T431  CP m,m (30d)           :     75.67     62.72 :    0.829
T440  ZAP m,m (10d,10d)      :     48.29     53.48 :    1.107
T441  ZAP m,m (30d,30d)      :     48.11     54.51 :    1.133
T442  ZAP m,m (10d,30d)      :     48.09     53.96 :    1.122
T443  ZAP m,m (30d,10d)      :     49.74     53.94 :    1.084
T445  SRP m,i,i (30d,<<)     :     60.83     62.93 :    1.035
T446  SRP m,i,i (30d,>>)     :     90.25     79.55 :    0.881
T450  MVO m,m (10d)          :     23.95     30.43 :    1.271
T451  MVO m,m (30d)          :     61.12     79.18 :    1.295
T500  LER R,R                :      2.62      1.58 :    0.603
T501  LE R,m                 :      4.43      5.08 :    1.147
T502  LE R,m (unal)          :      4.56      5.05 :    1.107
T503  LTER R,R               :      2.39      1.88 :    0.787
T504  LCER R,R               :      2.32      1.92 :    0.828
T505  LNER R,R               :      2.45      1.70 :    0.694
T506  LPER R,R               :      2.71      1.70 :    0.627
T507  LRER R,R               :      2.95      2.36 :    0.800
T508  STE R,m                :      4.38      5.01 :    1.144
T509  STE R,m (unal)         :      4.63      5.02 :    1.084
T510  AER R,R                :      6.23      5.01 :    0.804
T511  AE R,m                 :      8.65      8.01 :    0.926
T514  MER R,R                :      4.81      5.99 :    1.245
T515  ME R,m                 :      7.19      9.08 :    1.263
T516  DER R,R                :      9.71     19.69 :    2.028
T517  DE R,m                 :     11.98     23.16 :    1.933
T520  CER R,R                :      5.25      4.09 :    0.779
T521  CE R,m                 :      8.00      7.17 :    0.896
T522  AUR R,R                :      6.88      5.53 :    0.804
T523  HER R,R                :      3.00      2.33 :    0.777
T530  LDR R,R                :      2.75      1.78 :    0.647
T531  LD R,m                 :      4.78      5.29 :    1.107
T532  LD R,m (unal)          :      4.73      5.33 :    1.127
T533  LTDR R,R               :      2.48      2.07 :    0.835
T534  LCDR R,R               :      2.48      2.11 :    0.851
T535  LNDR R,R               :      2.61      2.05 :    0.785
T536  LPDR R,R               :      2.55      2.07 :    0.812
T537  LRDR R,R               :      3.52      2.99 :    0.849
T538  STD R,m                :      4.76      5.29 :    1.111
T539  STD R,m (unal)         :      4.70      5.36 :    1.140
T540  ADR R,R                :      6.81      6.18 :    0.907
T541  AD R,m                 :      9.10      9.38 :    1.031
T544  MDR R,R                :      7.82      8.24 :    1.054
T545  MD R,m                 :     10.69     11.56 :    1.081
T546  DDR R,R                :     73.06    250.49 :    3.429
T547  DD R,m                 :     74.81    253.35 :    3.387
T550  CDR R,R                :      5.69      5.11 :    0.898
T551  CD R,m                 :      8.69      8.35 :    0.961
T552  AWR R,R                :      5.81      5.21 :    0.897
T553  HDR R,R                :      3.60      2.91 :    0.808
T560  AXR R,R                :     11.05     11.22 :    1.015
T561  MXR R,R                :     14.24     24.03 :    1.688
T600  STCK m                 :     49.22     98.16 :    1.994
T601  SPM R                  :      1.24      1.39 :    1.121
T610  EX R,i (with TM)       :     14.66      8.84 :    0.603
T611  EX R,i (with XI)       :     14.64      9.08 :    0.620
T620  MVI;TS m (zero)        :     20.40     21.79 :    1.068
T621  MVI;TS m (ones)        :     88.47     91.56 :    1.035
T700  mix int RR basic       :      2.70      2.12 :    0.785
T701  mix int RX             :      5.26      8.13 :    1.546
T702  mix int RX (far)       :      5.24      8.21 :    1.567
D170  MVCL (10b)             :     11.93     17.60 :    1.475
D171  MVCL (100b)            :     15.23     24.36 :    1.599
D172  MVCL (250b)            :     19.63     35.99 :    1.833
D173  MVCL (1kb)             :     46.37     95.99 :    2.070
D174  MVCL (4kb)             :    156.26    342.44 :    2.191
D175  MVCL (100b,pad)        :      9.52     13.48 :    1.416
D176  MVCL (1kb,pad)         :     17.05     25.04 :    1.469
D177  MVCL (4kb,pad)         :     46.48     82.60 :    1.777
D178  MVCL (1kb,over1)       :      5.12      5.96 :    1.164
D179  MVCL (1kb,over2)       :     49.43     97.70 :    1.977
D215  DR R,R                 :      7.04     17.20 :    2.443
D216  D R,m                  :      9.69     20.49 :    2.115
D280  CLCL (100b,10b)        :     47.18     63.60 :    1.348
D281  CLCL (4kb,10b)         :     48.36     64.94 :    1.343
D282  CLCL (4kb,100b)        :    416.72    542.97 :    1.303
D283  CLCL (4kb,250b)        :   1023.06   1339.28 :    1.309
D290  CS R,R,m (eq,eq)       :     17.82     17.95 :    1.007
D291  CS R,R,m (eq,ne)       :     17.71     17.94 :    1.013
D292  CS R,R,m (ne)          :     84.58     86.34 :    1.021
D295  CDS R,R,m (eq,eq)      :     18.87     18.91 :    1.002
D296  CDS R,R,m (eq,ne)      :     18.78     18.97 :    1.010
D297  CDS R,R,m (ne)         :     85.55     87.02 :    1.017
D410  ED (10c)               :     62.11     85.37 :    1.374
D415  EDMK (10c)             :     63.46     87.34 :    1.376
D610  EX R,i (bare, via TM)  :     10.42      4.59 :    0.440
D611  EX R,i (bare, via XI)  :      9.95      4.58 :    0.460
D620  TS m (zero)            :     16.59     17.79 :    1.072
D621  TS m (ones)            :     84.67     87.56 :    1.034
