s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2-1cpu.dat                   330   0.21%     7.5%
      02: 2018-06-26_pra2.dat                        326   0.54%     2.1%
      03: 2018-06-26_pra1.dat                        326   0.92%     6.8%

Tag   Comment                :     tpi01     tpi02     tpi03 :  t02/t01  t03/t01
D322  BAL R,R                :      8.66     39.88     42.75 :    4.605    4.936
T506  LPER R,R               :      5.66     26.98     28.85 :    4.767    5.097
T238  NR R,R                 :      3.56     17.68     18.80 :    4.966    5.281
T535  LNDR R,R               :      5.43     27.05     28.75 :    4.982    5.295
T239  OR R,R                 :      3.53     17.68     18.80 :    5.008    5.326
T503  LTER R,R               :      4.99     25.09     26.75 :    5.028    5.361
T505  LNER R,R               :      5.10     25.85     27.41 :    5.069    5.375
T101  LA R,n                 :      2.76     14.22     15.08 :    5.152    5.464
T263  CLR R,R                :      2.50     12.95     13.78 :    5.180    5.512
T259  TRT m,m (250c,100b)    :    797.28   4157.32   4433.67 :    5.214    5.561
T405  UNPK m,m (15d)         :    102.47    534.77    568.09 :    5.219    5.544
T536  LPDR R,R               :      5.30     27.73     29.46 :    5.232    5.558
T193  ICM R,i,m (0111)       :     12.52     65.68     69.99 :    5.246    5.590
T256  TRT m,m (100c,zero)    :    781.41   4110.12   4389.27 :    5.260    5.617
T257  TRT m,m (250c,zero)    :   1935.16  10191.13  10857.34 :    5.266    5.611
T431  CP m,m (30d)           :    157.88    832.90    883.52 :    5.276    5.596
T265  CLI m,i                :      9.76     51.52     54.97 :    5.279    5.632
T504  LCER R,R               :      4.83     25.72     27.45 :    5.325    5.683
D320  BALR R,R               :      6.57     35.03     36.97 :    5.332    5.627
T303  BNZ l (do br, far)     :     12.83     68.80     72.89 :    5.362    5.681
T258  TRT m,m (250c,10b)     :     93.29    501.98    535.06 :    5.381    5.735
T533  LTDR R,R               :      5.15     27.79     29.49 :    5.396    5.726
T255  TRT m,m (10c,zero)     :     83.98    454.94    485.07 :    5.417    5.776
T534  LCDR R,R               :      5.18     28.32     30.13 :    5.467    5.817
T451  MVO m,m (30d)          :    128.77    706.92    751.49 :    5.490    5.836
T169  MVCIN m,m (100c)       :    666.88   3679.58   3920.93 :    5.518    5.880
T430  CP m,m (10d)           :    157.83    872.91    931.42 :    5.531    5.901
T207  SH R,m                 :     10.54     58.33     62.03 :    5.534    5.885
T204  AL R,m                 :     10.35     57.42     61.21 :    5.548    5.914
T250  TM m,i                 :      8.79     48.87     52.22 :    5.560    5.941
T404  UNPK m,m (5d)          :     42.82    238.19    254.49 :    5.563    5.943
T230  XR R,R                 :      3.18     17.69     18.80 :    5.563    5.912
T123  LM 2,3,m (2r)          :     11.25     62.60     66.65 :    5.564    5.924
T112  STH R,m                :      9.45     53.27     57.02 :    5.637    6.034
T305  BR R (far)             :     10.66     60.10     63.51 :    5.638    5.958
T168  MVCIN m,m (30c)        :    203.70   1149.46   1223.97 :    5.643    6.009
T511  AE R,m                 :     19.50    110.04    117.11 :    5.643    6.006
T100  LR R,R                 :      2.07     11.70     12.45 :    5.652    6.014
T106  LTR R,R                :      3.51     19.87     21.31 :    5.661    6.071
T209  SL R,m                 :     10.56     59.89     63.91 :    5.671    6.052
T232  XI m,i                 :      9.73     55.27     59.17 :    5.680    6.081
D177  MVCL (4kb,pad)         :     97.00    551.80    597.29 :    5.689    6.158
T403  PACK m,m (15d)         :     96.01    546.80    582.73 :    5.695    6.069
T450  MVO m,m (10d)          :     49.82    285.66    303.98 :    5.734    6.102
T203  ALR R,R                :      2.80     16.07     17.14 :    5.739    6.121
T113  STH R,m (unal1)        :      9.38     54.04     57.86 :    5.761    6.168
T202  AH R,m                 :      9.97     57.44     61.32 :    5.761    6.150
T167  MVCIN m,m (10c)        :     73.10    424.20    451.92 :    5.803    6.182
T124  LM 2,7,m (6r)          :     15.19     88.16     94.13 :    5.804    6.197
T242  SRL R,1                :      4.46     25.99     27.69 :    5.827    6.209
T208  SLR R,R                :      2.86     16.67     17.76 :    5.829    6.210
T266  CLM R,i,m              :     12.26     71.76     76.32 :    5.853    6.225
T512  SER R,R                :     14.58     85.99     91.42 :    5.898    6.270
T115  STC R,m                :      8.82     52.10     55.51 :    5.907    6.294
T513  SE R,m                 :     19.88    117.50    124.77 :    5.910    6.276
T206  S R,m                  :      9.86     58.37     61.91 :    5.920    6.279
T510  AER R,R                :     14.51     85.96     91.50 :    5.924    6.306
T231  X R,m                  :      9.36     55.48     59.28 :    5.927    6.333
T160  MVI m,i                :      7.89     46.84     50.01 :    5.937    6.338
T222  SRA R,1                :      5.10     30.48     32.55 :    5.976    6.382
T108  LNR R,R                :      3.22     19.25     20.40 :    5.978    6.335
T224  SRA R,30               :      5.10     30.50     32.53 :    5.980    6.378
T601  SPM R                  :      2.79     16.72     17.88 :    5.993    6.409
T191  ICM R,i,m (0010)       :     15.84     94.98    101.31 :    5.996    6.396
T520  CER R,R                :     10.93     65.57     69.78 :    5.999    6.384
T402  PACK m,m (5d)          :     38.43    231.18    247.45 :    6.016    6.439
T190  IC R,m                 :      8.94     53.91     57.68 :    6.030    6.452
T210  MR R,R                 :      5.67     34.24     36.63 :    6.039    6.460
T118  STCM R,i,m (0111)      :      9.78     59.28     63.19 :    6.061    6.461
T521  CE R,m                 :     16.69    101.20    106.63 :    6.064    6.389
T240  SLL R,1                :      4.28     25.97     27.75 :    6.068    6.484
T244  SLL R,30               :      4.28     26.04     27.77 :    6.084    6.488
T212  MH R,m                 :      9.99     60.89     65.12 :    6.095    6.519
D411  ED (30c)               :    386.76   2380.35   2540.58 :    6.155    6.569
T201  A R,m                  :      9.29     57.50     61.24 :    6.189    6.592
T441  ZAP m,m (30d,30d)      :    100.36    623.67    665.28 :    6.214    6.629
T262  CH R,m                 :      9.11     56.66     60.52 :    6.220    6.643
T508  STE R,m                :      9.10     56.61     60.52 :    6.221    6.651
T104  LH R,m                 :      9.07     56.45     60.52 :    6.224    6.673
T192  ICM R,i,m (1100)       :     16.42    102.55    109.41 :    6.245    6.663
T125  LM 0,11,m (12r)        :     20.27    126.62    135.29 :    6.247    6.674
T260  CR R,R                 :      2.56     16.10     17.12 :    6.289    6.688
D291  CS R,R,m (eq,ne)       :     13.98     88.17     94.79 :    6.307    6.780
T110  ST R,m                 :      7.68     48.76     52.10 :    6.349    6.784
T220  SLA R,1                :      6.44     40.90     43.58 :    6.351    6.767
T440  ZAP m,m (10d,10d)      :    100.41    637.75    679.85 :    6.351    6.771
T310  BCTR R,0               :      3.54     22.49     24.05 :    6.353    6.794
D410  ED (10c)               :    129.21    821.08    876.59 :    6.355    6.784
T501  LE R,m                 :      9.20     58.58     62.51 :    6.367    6.795
T442  ZAP m,m (10d,30d)      :    100.54    640.84    684.72 :    6.374    6.810
T443  ZAP m,m (30d,10d)      :    100.19    639.52    682.71 :    6.383    6.814
D290  CS R,R,m (eq,eq)       :     13.87     88.68     95.40 :    6.394    6.878
T423  SP m,m (30d)           :    232.93   1491.38   1598.19 :    6.403    6.861
T109  LPR R,R                :      3.78     24.32     25.97 :    6.434    6.870
T264  CL R,m                 :      7.71     49.65     52.99 :    6.440    6.873
T261  C R,m                  :      8.67     56.07     59.89 :    6.467    6.908
T422  SP m,m (10d)           :    221.93   1437.20   1539.45 :    6.476    6.937
D426  DP m,m (10d)           :    441.61   2860.18   3067.69 :    6.477    6.947
T420  AP m,m (10d)           :    221.54   1441.29   1543.57 :    6.506    6.967
T205  SR R,R                 :      3.84     25.06     26.64 :    6.526    6.938
D283  CLCL (4kb,250b)        :   2131.72  13960.78  14829.31 :    6.549    6.956
T107  LCR R,R                :      3.64     23.86     25.50 :    6.555    7.005
D282  CLCL (4kb,100b)        :    867.67   5693.21   6037.87 :    6.561    6.959
T424  MP m,m (10d)           :    277.10   1826.54   1953.11 :    6.592    7.048
T301  BNZ l (no br)          :      2.11     13.97     15.07 :    6.621    7.142
T102  L R,m                  :      7.44     49.58     52.86 :    6.664    7.105
T517  DE R,m                 :     24.90    166.48    177.26 :    6.686    7.119
T425  MP m,m (30d)           :    276.48   1856.83   1992.23 :    6.716    7.206
T421  AP m,m (30d)           :    216.58   1463.31   1568.59 :    6.756    7.243
T515  ME R,m                 :     14.98    101.58    107.80 :    6.781    7.196
T117  STCM R,i,m (1100)      :     13.33     90.49     96.41 :    6.788    7.233
T516  DER R,R                :     20.23    137.54    146.29 :    6.799    7.231
T120  STM 2,3,m (2r)         :     10.96     74.63     79.54 :    6.809    7.257
T114  STH R,m (unal3)        :      9.34     63.73     68.03 :    6.823    7.284
T211  M R,m                  :      9.91     67.80     72.55 :    6.842    7.321
T446  SRP m,i,i (30d,>>)     :    186.97   1283.71   1376.13 :    6.866    7.360
T116  STCM R,i,m (0010)      :     12.27     84.82     90.06 :    6.913    7.340
T531  LD R,m                 :      9.95     68.99     73.29 :    6.934    7.366
T445  SRP m,i,i (30d,<<)     :    125.70    877.27    940.43 :    6.979    7.482
D415  EDMK (10c)             :    131.38    919.67    990.58 :    7.000    7.540
D281  CLCL (4kb,10b)         :    100.72    718.45    767.81 :    7.133    7.623
T509  STE R,m (unal)         :      9.67     69.04     73.38 :    7.140    7.588
D280  CLCL (100b,10b)        :     98.06    700.99    747.68 :    7.149    7.625
T221  SLDA R,1               :      7.41     52.98     56.01 :    7.150    7.559
T105  LH R,m (unal3)         :      9.47     67.74     72.07 :    7.153    7.610
T121  STM 2,7,m (6r)         :     14.35    102.70    109.73 :    7.157    7.647
D292  CS R,R,m (ne)          :     15.30    109.89    111.42 :    7.182    7.282
T235  XC m,m (10c)           :     22.27    160.66    172.34 :    7.214    7.739
T551  CD R,m                 :     18.07    130.53    138.70 :    7.224    7.676
T300  BCR 0,0 (noop)         :      2.48     17.96     19.22 :    7.242    7.750
T522  AUR R,R                :      9.95     72.50     77.56 :    7.286    7.795
T538  STD R,m                :      9.79     71.54     76.23 :    7.307    7.787
T502  LE R,m (unal)          :      9.52     70.34     74.81 :    7.389    7.858
T111  ST R,m (unal)          :      8.60     63.60     68.19 :    7.395    7.929
D427  DP m,m (30d)           :   1029.92   7657.96   8237.71 :    7.435    7.998
D295  CDS R,R,m (eq,eq)      :     15.36    115.39    123.39 :    7.512    8.033
D296  CDS R,R,m (eq,ne)      :     15.30    115.18    123.23 :    7.528    8.054
T200  AR R,R                 :      3.39     25.56     27.31 :    7.540    8.056
T151  MVC m,m (10c)          :     19.98    153.21    162.59 :    7.668    8.138
T103  L R,m (unal)           :      8.58     66.23     70.43 :    7.719    8.209
T541  AD R,m                 :     20.59    159.76    170.21 :    7.759    8.267
T514  MER R,R                :     10.01     77.68     82.53 :    7.760    8.245
T543  SD R,m                 :     20.85    161.81    172.10 :    7.761    8.254
T550  CDR R,R                :     11.88     93.15     98.90 :    7.841    8.325
D176  MVCL (1kb,pad)         :     35.93    283.25    306.56 :    7.883    8.532
T552  AWR R,R                :     12.07     95.48    101.86 :    7.911    8.439
T236  XC m,m (100c)          :    101.08    804.56    875.03 :    7.960    8.657
T245  SLDL R,60              :      5.75     45.97     49.32 :    7.995    8.577
T241  SLDL R,1               :      5.75     46.01     49.27 :    8.002    8.569
T161  MVN m,m (10c)          :     19.93    159.87    171.94 :    8.022    8.627
T165  MVZ m,m (10c)          :     19.94    160.07    171.51 :    8.028    8.601
T243  SRDL R,1               :      5.75     46.74     49.92 :    8.129    8.682
T150  MVC m,m (5c)           :     17.60    144.80    153.52 :    8.227    8.723
D297  CDS R,R,m (ne)         :     17.47    144.30    148.85 :    8.260    8.520
T225  SRDA R,60              :      6.23     51.76     55.35 :    8.308    8.884
T223  SRDA R,1               :      6.23     51.77     55.43 :    8.310    8.897
D323  BAL R,R (far)          :     16.22    134.97    144.41 :    8.321    8.903
T237  XC m,m (250c)          :    224.10   1867.53   2042.03 :    8.333    9.112
T152  MVC m,m (15c)          :     19.07    162.48    172.71 :    8.520    9.057
T532  LD R,m (unal)          :      9.84     84.17     89.53 :    8.554    9.099
T507  LRER R,R               :      6.15     52.66     56.23 :    8.563    9.143
T537  LRDR R,R               :      7.34     63.02     67.25 :    8.586    9.162
T540  ADR R,R                :     15.37    132.35    140.92 :    8.611    9.169
T523  HER R,R                :      6.24     54.28     58.06 :    8.699    9.304
T542  SDR R,R                :     15.46    135.65    144.37 :    8.774    9.338
T553  HDR R,R                :      7.52     66.75     71.49 :    8.876    9.507
T122  STM 14,12,m (15r)      :     19.67    175.41    188.13 :    8.918    9.564
T539  STD R,m (unal)         :      9.79     87.44     92.82 :    8.932    9.481
T252  TR m,m (10c)           :     16.43    155.55    167.46 :    9.467   10.192
T153  MVC m,m (30c)          :     19.67    186.95    198.53 :    9.504   10.093
T162  MVN m,m (30c)          :     33.62    323.37    350.18 :    9.618   10.416
T166  MVZ m,m (30c)          :     33.59    323.46    350.57 :    9.630   10.437
D216  D R,m                  :     20.14    197.46    210.67 :    9.804   10.460
T560  AXR R,R                :     25.60    253.60    269.41 :    9.906   10.524
D170  MVCL (10b)             :     24.80    246.57    261.68 :    9.942   10.552
T545  MD R,m                 :     22.26    229.18    244.40 :   10.296   10.979
T400  CVB R,m                :     38.77    404.26    429.49 :   10.427   11.078
D178  MVCL (1kb,over1)       :     10.74    112.76    121.07 :   10.499   11.273
D171  MVCL (100b)            :     31.69    336.89    357.66 :   10.631   11.286
T154  MVC m,m (100c)         :     23.02    246.53    261.13 :   10.709   11.344
D175  MVCL (100b,pad)        :     19.89    217.75    236.32 :   10.948   11.881
D215  DR R,R                 :     14.66    174.76    187.08 :   11.921   12.761
D172  MVCL (250b)            :     40.90    491.81    522.49 :   12.025   12.775
T544  MDR R,R                :     16.29    198.62    212.27 :   12.193   13.031
T157  MVC m,m (250c,over2)   :     31.10    379.75    400.94 :   12.211   12.892
D179  MVCL (1kb,over2)       :    103.18   1270.25   1343.30 :   12.311   13.019
D173  MVCL (1kb)             :     96.40   1245.78   1316.68 :   12.923   13.659
T155  MVC m,m (250c)         :     31.11    415.69    439.38 :   13.362   14.123
D174  MVCL (4kb)             :    324.89   4389.58   4631.58 :   13.511   14.256
T253  TR m,m (100c)          :     69.57    972.88   1054.77 :   13.984   15.161
T254  TR m,m (250c)          :    151.07   2323.68   2522.66 :   15.381   16.699
T561  MXR R,R                :     29.60    493.92    528.72 :   16.686   17.862
T547  DD R,m                 :    156.41   2785.35   2997.05 :   17.808   19.161
T546  DDR R,R                :    152.45   2744.70   2949.76 :   18.004   19.349
T600  STCK m                 :     68.46   1750.67   1288.33 :   25.572   18.819
T401  CVD R,m                :     36.05   1339.26   1433.81 :   37.150   39.773
